"","his_data_2015.his_all_comments.textOriginal"
"52","at my school we are in defense mode ok after Columbine my shool is really in defense mode . if a shooter came in he/she would have a broken rob or would have a injury. we lock our doir even if the doir was locked we would have our text books , book bags,etc ready to pounce . we would even use the chairs or desks . our shool is not that big ,but our bigest buulding id on LOCK DOWN . i mean they will even use the 1000$ insramints just to protect them selves"
"53","In the beginning, you could see the kids laughing during the second drill being shown. They don't understand how dangerous it could be and how in risk they are for shootings!"
"54","""At least 5 minutes"" MINES LIKE 30 MINUTES DAMN"
"55","Lol"
"56","But 30 min later they gave up and left"
"57","They had real guns they fired one thought the window"
"58","I've been in a real shooting befor and there were 5 shooters and our door couldn't lock so I was scared"
"59","#guncontrol for america now.how long will it take,how many deaths?"
"60","I am in high school, and we have lock downs, and it's so scary just to think about it."
"61","just the plain turn the lights off and lock the door drills terrify me and i get anxiety and stuff so if people came in and started fake shooting i would have a panic attack no thank u"
"62","if the us government would ban guns , 155 of those 160 school shootings (the 160 school shootings the media covered.....) could've been prevented..but oh yeah a 300 year old constitution (out of a time where automatic weapons weren't around may I add) is obviously more important to keep than the safety of people."
"63","This is just wrong"
"64","My school makes all hide by the door and turn off the lights so he can't see us.. For real do they think the gunman is gonna be like ""oh they're not here"". If I'm in class and there's a shooting happening, the rest of my class better get some chairs and throw them at him with me."
"65","I'm just saying but so do schools not realize shooters know in a lockdown everyone will get in a corner and turn off the lights? Like think of someone better please so I don't die if a shooting happens. Fr"
"66","Or you could ban guns"
"67","I think that  the  drills  are  good( because  it can  teach kids  how to  react in a  terrifying  situation) as  long as  parents  are  informed    so that  when  they  receive  text  messages from  their frightened  kids they  can  react in an  informed  way  my  high  school did lockdown  drills and  basically an  announcement  was made saying  that  we  are  going  to  go  into  our  C  day  schedule   and that  was the  sign that we needed  to hide    but  everyone  would  joke around  for the  most part because  we  knew it  was a drill . Just  to reiterate  drills  where  they  scare  the kids  can be  good  as long as parents know  when  they  are doing  them  that way  the  parents know  what's  going  on but the  kids  are convinced it's  real as  to  prepare them  for   something that hopefully never  happens  because  when  kids know it's  fake they  won't  take  it  seriously"
"68","Arming teachers with combat skills and kids with techniques to not get killed whilst AT SCHOOL!! Should be indicative that perhaps guns are not a good idea e.g. Australia."
"69","Train teachers and let them conceal carry. Problem solved."
"70","I know weird ways to take down shooters i know how to acess pressure points to immobilize them an get their gun try to take out the mag or use their gun against them"
"71","Nobody died at Sandy Hook.  These ""active shooter"" events are staged."
"72","these drills are fucking horrifying at my university. we have one-two a year, and we lock down for a couple of hours. they'll do announcements before it starts so nobody panics and calls the police, but other than that, they're extremely realistic. a volunteer from the theatre department follows the shooter around with packs of fake blood, and anyone who gets ""shot"" has to drop where they are and they can get the blood poured on them if they want to. it seems kind of fun at first, but when you're running down a hallway listening to gunshots (albeit clearly fake ones) and it's full of very still, bloody people? kind of nerve wracking."
"73","It's just a prank bro"
"74","Why huddle in a corner? It would be like shooting fish in a barrel!!!"
"75","we have lock down drills at our school but they dont tell us abou them so the teacher lets us sit in the lockers if were really skinny"
"76","hahaha they are throwing the ball at the.........the.......... bad guys or something"
"77","JUST A DRILL DUDE!"
"78","honestly if i was still in highscool id want to be a trained student and id most certainly want to help take down a gunman if thats the last resort"
"79","i think it is important to teach teachers self defense. school shootings have become such a problem"
"80","gun control is an extremely difficult issue."
"81","I remember when my school had a lock down and I was with a teacher in the library. she was new. we heard the code word for a lock down, and we just sat there. I was waiting for directions but she just carried on with the learning.  all I heard was people screaming and running and doors closing. it was only me and her in there. if there was an intruder we would died cuz we were right next to the entrance. I found it funny when I went to lunch and she asked what happened and the teacher told her a lock down. I looked at her like
""Did u miss the meeting about the codes"""
"82","Are you fucking kidding me? America has shooting drills? Omg. That just proves your gun laws are fucked."
"83","they need 2 do this 2 all schools. it might save lives."
"84","As long as there's bad guys with guns I want a gun. Personal defense can't and shouldn't be made illegal. But the government thinks otherwise. But that's why we have the 2nd ammendment"
"85","How about instead of practicing these, how about having stricter gun laws? Canada has stricter laws, and how many school shootings have they had in comparison to the states? Definitely not as many. We hardly ever have lock down drills because they are hardly ever needed. We might have 1 a semester maybe if the principle remembers, but hardly. I just feel if laws were stricter with guns in the USA, these preparations wouldn't have to be necessary."
"86","IMMA THROUGH A MUTHER FUCKING DESK AT THEM"
"87","My distant cousin did something cruel like this a few years ago. I'm glad that teacher from Columbine High School survived. God bless her heart."
"88","I agree that it's horrible we have to do this to protect schools, but honestly the world is a sick place and u would feel so much better if my kid went to a school that takes school shootings so seriously."
"89","All the comments I'm seeing say somethings along the lines of ""Americans so dangerous they actually have to have school shooting drills!"" well, it's actually a really serious issue. I'm in middle school in the US, and we have drills for every possible emergency scenario, and we have them often. for some, this is a really big deal. please take it more seriously."
"90","One time my school had threats against it and they didn;t call, and they didn;t tell us anything about it, and tried to get us to go on a normal day and we were all flipping out"
"91","What do they make them huddle in a corner? My school makes us go under our tables and pull our chairs in and stay as quiet as a mouse."
"92","i think it's good to teach kids this...what to do...where to go & how quite to be...think blood & fake bodies is way too much...teaching them lockdown is good...but thats a bit too far...ive heard a gun but never seen or been in a gun experience...but it terrifies me...i even cry around fireworks as i'm that scared x"
"93","And this is what you don't do when teaching about an active shooter."
"94","why would you put every single kid in the exact same spot I mean if a shooter came in then for 1 the shooter would spot all of the kids right away and for two it would only take a couple of shots to kill EVERY ONE because they are in the same spot I mean I know that some people shoot others for the thrill of it so they actually like it when it is hard to find every one ya know the whole "" give me a challenge "" thing but not that many people do it for fun they are either filled with anger or they are trying to be noticed so I really don't understand why you would huddle everyone up in the same spot can someone please explain the meaning of that cause I honestly do not understand that"
"95","Its sad that these drills even need to happen. America is the only place where a white person will try to shoot a bunch of helpless kids, and nothing will be done to help the security of schools."
"96","this is really stupid you're just giving future school shooters more information. They should jump at least the window its better having a broken leg than being shot to death."
"97","This is stupid because if the gun was real and he pulled the trigger she would bleed out"
"98","When we have lockdowns our teacher takes our phones if anyone has it on them and we just keep quite for a while. Then the principle and the police officer who hangs out around the school since I go to middle school and there are some bad kids at my school, anyways the principle and cop opens all the doors when we are done."
"99","I would bust a window and run, not wait there with everyone, then your basically sitting ducks, Ide rather die trying to escape than die while sitting there"
"100","We need more shooter drills then STUIPID fire drills"
"101","you send them to a chl class and buy them a gun"
"102","That drill was so uncalled for."
"103","My principle was at columbine high school when that shooting happened"
"104","as a high school student, I have gone through tons of these drills, but never have they gotten as morbidly realistic as this. There is not point in making it hyper-realistic if all the kids will do is sit in the corner and wait for the shooter to come in the room. That's pretty messed up."
"105","if you dont fight you die"
"106","I think the lessons on taking down a shooter is actually like a really good idea"
"107","Is that jenna 0:39"
"108","Omg it could be real too"
"109","This makes me sick. You are going to scare all these kids by putting them through these drills on the off chance that it might help them if something happens? How do you explain to a 10 year old why they need to do this and how do you prevent all those kids from feeling scared about something they probably cant do anything about anyway? I get it that people feel that schools should do something but you should also weigh the pros and cons and its a pretty big con that you are making kids face these things all the time and feel like a shooting might happen to them any moment now."
"110","just no just no stop we can solve every issue by letting teachers have guns obviously locked in cabinets or something just in case of emergency. or locked by a computer system that someone in the front office unlocks when they trigger the lock down. something not as stupid and cringe worthy like this"
"111","cringe"
"112","How did he almost get a ticket? He was going 130. He deserves a ticket XDXD"
"113","So my kid gets shot for lunatic right-wingers ""right to bare arms"". Right makes total sense."
"114","Am I the only one who laughed when she said her husband was doing 130"
"115","Thats a shitty drill it would be like shooting fish in a barrel"
"116","I would of cried and hugged the most unattractive guy in class😂 and probably shit myself. One time we had a drill ( dangerous person near campus) and a lot I f people knew about it and I didn't and I almost cried😂"
"117","6:13 hmmm niceee"
"118","police help!!!!!"
"119","TACKLE HIIIIIIIIIIIIM"
"120","7:22
of summer
No im not sorry"
"121","If minecraft was real I would take my diamond sword and kill the shooters"
"122","lol the students reaction when they threw the balls at the shooter made me laugh 😅"
"123","Wtf, hide and hope? Nah, here's a better idea: lock the door to slow him down and jump out the window"
"124","That shit never happens here. germany for the win"
"125","There were rumors in my school saying we're having a lockdown"
"126","Only Americans do this haha you people are sick. What the fuck is wrong with Americans shooting children in school? Would never happen in England"
"127","true"
"128","+Davine Nixon with"
"129","+Blake Mayhem we spend times qith both"
"130","If only they spent as much in literature as they did in defense."
"131","+SFMShorts XD mi auto correct tho"
"132","+Davine Nixon Holy shit that spelling is bad!"
"133","+Luisa Souza...therefore you are dangerous. "
"134","I think"
"135","would've*"
"136","because a guy won't shoot up a school because guns are illigal"
"137","Its hard down here, dude. i hate my country. why couldnt my family be born into japan or uk even."
"138","+Foouhomeyg yeah :)"
"139","+MyOwnPrivateAlex90s Amen dude."
"140","jump of the windows*"
"141","true ! like theres no fires that happen, ever !"
"142","I have fire drills but i live in uk anyway"
"143","I live in Georgia and of course everyone loves guns down here and we are fully capable of fighting back. In fact in my school our teachers tell us that we should hide behind the desk but if some one comes in the room we all have different jobs. For example my friend gets the box of scissors and I ready to throw I get about five text books and try to hit him in the groin or temple it all depends on my mood"
"144","For our school we do something similar, but different. We have a man knock on the door and yell ''ANYONE IN THERE?'' then leave"
"145","when you see a scene from your school"
"146","if we have a real shooter at our school I'm screwed bc we hide under our desk and I'm right beside the door......"
"147","jump out the window and run to the hills"
"148","This is in Pueblo Colorado"
"149","every school should do this"
"150","You lock the fucking door no shit sherlock."
"151","Wait, they don't even lock the fucking door?"
"152","Ban guns! Why Do Americans never Learn"
"153","you would think that the most effective way to respond to a shooting would be maximum chaos to disorient the shooter. Like play loud jarring noises through the loudspeakers and shoot confetti and rubber bullets out of automatic launchers concealed in lockers. Also like strobe lights would work too. Shut off all of the lights, except for random strobe light bursts.  And while all of this shit is going on, have a special police group that does all of there training in these conditions burst in and hunt and kill the shooter."
"154","When a shooting came to my school the thing is My dads family and my moms family is crazy so there is no need for my teachers to protect me so I will be going super crazy so good luck of who that person is 😈"
"155","Mass shootings=drills made to look real"
"156","Would you feel better with your children huddled in the corner waiting for the gunman to come in and kill them 
or

Would you rather they be huddled in the corner and the teacher positioned with a gun waiting for the gunman to step inside the room???"
"157","YEA scaring kids for life will help them 👏👏👏👏 
principle of the year right here 😂"
"158","This is so dumb you should be evacuating them if there's ever a shooting not put them in one corner"
"159","2:36 look at the boy in the background looking like he going to Disneyland or something"
"160","Fucking White Christians always shooting up schools."
"161","At my school we have a ""Fight or flight"" thing. We no longer do the ""duck and cover"" , And we just turn off the lights, lock the door &' sit in our regular seats, our teacher has ""wasp"" spray to stun him because they're not allowed to carry ""weapons"". And students are encouraged to help take out the bad guy in emergency. We're told to fight back in all cases, no matter what. Like in the video they threw things at the gunman, were encouraged to do that also. And if fighting doesn't work or something goes wrong, we run. (Multiple doors in all rooms) , we done it once before because a school close to ours had a gunman there & we were on lockdown for 2 hours , but it was a ""open lockdown"". We resumed teaching class, but the doors were locked and nobody was allowed to leave. Unless they're parents were there. I don't know what y'all think, but in my opinion ""fight or flight"" is a whole lot better than sitting ducks."
"162","So the teacher was in columbine during the shooting?"
"163","The school should tell the parents before the drill so they know what's going on"
"164","These teachers are sooooooo fine! Where do I find one? ?!!!!"
"165","To be honest I would be excited because of the lockdown. I'm only in middle school too. xD"
"166","Our orchestra teacher was talking to us during our drill one day, we have a door in the back of our class that leads outside. He said that if there is ever a real shooter and they aren't in the front area and parking he's gonna open the door and were gonna run. All of us were crying, we thought about how we'd leave all of our friends in danger but then again I'm pretty sure your friends will be the last thing you care about if you're in a shooting"
"167","It made me cry when I saw the sign that said Rachel joy Scott"
"168","this makes me happy that they are holding drill and training teachers and students but it is sad that we have to do this in the first place"
"169","Wow. My school is nothing like that. We do all huddle in the corner though. It's stupid, but I can't change it."
"170","Its awesome how skyview is doing an active shooters trainjng for teachers. it will really save lives someday"
"171","How Is It A Fucking Drill If You Don't Lock The Door Or Even Turn Off The Lights? AND THEN THERES PEOPLE GOING INTO THE CLASSES SHOOTING THE KIDS! If I Was In That And There Was A Shooter,I Would Fucking Start Attacking Him.
Excuse My Language. I Just Had To Share My Thoughts"
"172","omfg xD"
"173","try high school wood shop or welding those are the one class rooms no one goes to"
"174","Oorrrr... Instead of ducking in the corner and have the entire group of kids be shot up, there can be a presence of firearms!

What a grand idea! I'm such a genius!

NOTICE HOW EVERY TIME YOU DONT HAVE GUNS SOMEONE IS GOING TO SHOOT YOU WITHOUT YOU SHOOTING BACK!"
"175","i think this is smart but they should warn the parents."
"176","This Holly carpenter girl probably hates her 'kids'"
"177","They are basically giving people places to go shoot and the shooters will know what the have plan"
"178","Ew the school have ugly outfits for the class"
"179","White people smh"
"180","there's no winning if you did a drill your wrong you don't do a drill your wrong get over it"
"181","This can't happen in my school we already have a police station merged in it Jan Mann Opportunity Highschool"
"182","real 🔫"
"183","At my school most teachers have baseball bats and wait next to the door."
"184","😭"
"185","The kids that are huddled in the very corner are the safest"
"186","rolling on the ground tackling the guy the shooter pulls the trigger and kills a kid."
"187","did anyone  se that kid wave when they were showing the front of the school?"
"188","Truealerts!"
"189","130 whut by jeanally"
"190","they have done something similar to that"
"191","7:55 really the woman is the one to be by the door and try to take the shooter down?? (Lol I know it's just drill btw) but I know there are bigger and stronger men in that room that could try and tackle the shooter. Realistically, I don't think she would step up (I wouldn't either) lol. I think the throwing a bunch of things the shooter is a good method of trying to stop them, but the that means all of them are standing up and one of them could possible get hurt since the first thing the shooter sees is all of them standing up getting ready to chuck something xD so their instinct might be to pull the trigger.They should flip the desks down as a protective shield!!! Well a gun would probably go through that....but it will lessen the impact right? N they can hide behind the desk"
"192","Yo wtf this is crazy xD in my school, we do the same but they don't go crazy and use fake guns and a fake intruder. One time, they didn't announce that it wasn't a drill and we were like wtf they didn't say it was a drill lol. But this is pretty cool that they have the teachers do this training. I do think that it is pretty wrong to traumatize kids like this though."
"193","Idk maybe if the teacher had a gun and was trained!"
"194","This is a starts. School should always make a plan. And teach kids and teachers how to react when something like this happens."
"195","I can understand natural disaster drills, but a school shooting drill, really?! -.- I remember when I was in school they did a lockdown drill once. Lights were turned off, window blinds were closed, curtains covered the indoor hall windows, and everyone curled up in the corner giggling. I thought such a drill was stupid then and I can only imagine some moron thought, ""Hey they don't even take it serious, lets surprise them with a shooting simulation.""
While they are at it why don't they just start fires for fire drills, flood buildings for flood drills, place real bombs for bomb drills. 
smh."
"196","Why not just have the teachers carry a gun"
"197","Even if it does not help to hide in a corner, it does keep order."
"198","I would love if my school did this drill actually. Show those bitches what to do"
"199","tbh I would try to get something sharp hard or devastating and do whatever to kill him not going to die in a corner better chance if you go bezerker on them pencils in the eyes ANYTHING"
"200","If a shooter is trying to fight back and not get taken down he wouldn't just squirm.  He would punch you in the head, unrealistic training."
"201","this is actually a good idea. I would be scared in a drill like this but that's the point they should just notify parents and kids though to save the terror"
"202","also. A quote from my music teacher ""i think everyone should have the hardest thing in their hands and when the shooter comes in just pummel him by throwing everything at him but the kitchen sink and then some"""
"203","i know something that would be a lot better, have every teachers desk with a sawed off shotgun underneath with a release lever that only the teacher knows how to release it. it would make it 100 times safer then huddling into a corner where the shooter wont even need to aim he would just need to dump his gin in the general direction and probably kill the entire class. your just making it a lot easier for a shooter to make a bigger death toll."
"204","My school does lock downs just in case if there is a shooter in my school. sometimes I get scare at lock down and this one lock down we did not know about we all went in a concer in the class room I got really scare I thought there was really a shooter in the school I go to."
"205","The best way, put the tables near each other use them as a wall to protect you from the bullets and just be prepared to throw chairs!!"
"206","For my schools evacuation plan (to be used in case of a bomb threat) they literally bring the whole school outside and put them in the stands of the football field. The whole fucking school. My district is so fucking stupid I want something to happen, just to show them what is wrong with the plan😕"
"207","Just a prank"
"208","oh yes because every school shooter knows and acknowledges the Ducking behind a Desk law. where if someone is comes in to a school with the intent to kill children all you do is duck behind a desk and pray he doesn't kill you. fucking seriously are people literally so stupid to believe this would work. the shooter would have cleared 4 classrooms before getting caught by the police."
"209","MURICA"
"210","""IM GONNA KI--....... UGHHH dammit, they're hidden in the corner... No fair!"""
"211","- Florida"
"212","the one fact that stands here, is ""why the fu are guns legal"""
"213","They might as well fight. If the shooter comes hes gonna kill you anyway."
"214","it's incredible that americans need actual drills for school shootings"
"215","What the actual fuck here's a fucking idea, get rid of the guns, you can't shoot someone without a gun, it's actually sickening that a western country would allow their children to live like that, it's the type of atmosphere you'd expect the children in Syria to have lived in a few years ago"
"216","Great now the shooter knows what the teachers are gonna do"
"217","Wait, the girl's logic was ""The police came and I'm scared"" (fair enough) and then ""I thought they were going to kill us!"" I'm sorry- not really getting it... Maybe she just didn't explain it properly, but seeing as she didn't even see any criminals, only police, I don't know why she thought she was going to die...."
"218","My five year old baby brother lives so close to sandy hook. My mother personally has sold beds to some of the family's an friends of the victims of sandy hook. I have this incredible bond with my little brother, and I would want nothing more than for the practices to help children of all ages. I believe schools should be doing more exercises often. My elementary and middle schools never did any. Only once in 6grade and it was a for real experience but I rather teach an save than have uneducated kids lay with fear.  So I hope schools everywhere can step up an do at least two lock downs a year and try to make kids understand how important it is. When my 6th grade class had one there were a couple kids that were joking around. It's not a joke. A joke could cost a life or thousands."
"219","I think there is another solution for your problem. If you just think a little bit, you might see it."
"220","I might join the police to take down these school shooting motherfuckers"
"221","What if the shooter has tear gas then they are disabled can't throw anything or fightback"
"222","#American problems lol"
"223","Ya wrestle the guy with gun it's not like its gonna go off or anything "
"224","hmmm maybe in the future, every class room in the building including the bathrooms and offices will have an installed metal locked down, bullet proof walls, doors.. oh and explosives won't do shit. so the plans are foiled for the ones shooting up the school. if they cant get to the people they are trying to shoot then they are basically there for no reason ether until they go away or the cops get there.. the metal doors can be open from the inside only.

yes, it does sound very very expensive.. but i think it could work.. maybe i dont know.. will it?.."
"225","WTF *pulls own shade* i guess theres no one in this room ill try the next
fucking stupid
didnt the fucking shooter shoot the door open?"
"226","if a shooter would enter my school I would stand by the door with a chair and knock the motherfucker out"
"227","Damn theres some cute ass teachers in that school"
"228","My high school made us lock the doors then pile all the file cabinets against the door and barricade us with desks all of our windows were at the top of a 6 foot wall. I really like that I wish they would do this in all schools."
"229","I wished my school would do more of these things :) they should be glad to be prepared"
"230","my school had a lockdown for 2 hours cause there were bomb warnings"
"231","My school has those drills a few times a year. There was one time when there was this Great Dane that sneaked in our school and they had a lock down. I don't know if it was a mean Great Dane or nice but it's good that we did the drill"
"232","TBH those drills look kind of fun...  Fake blood and volunteers pretending to be dead."
"233","Just teach the teachers Ikido, Turning oppositions aggression against themselves to over come and opposition."
"234","Ok. In most cases it is a pupil or student doing the crime. In which case they will know •if other pupils had training• what they are in for. But at the same time. There are many other pupils and yes. Some might be severely hurt in the process but they could bring the gun man down. Now in the case of a stranger coming in. The stranger probably doesn't know what to expect so it'll catch them off guard. Either way this is %100 safer then just sitting in a corner expecting them not to break through the door. They don't teach what happens when a gun man does come in. All they do is teach to sit in a corner and hope. Which does not work. So I do agree with teaching self defense"
"235","We have geese the that live on our campus and one time one got in and so we had to go on lock down while the goose was just waddling in the hallways😂"
"236","I just thought of a far easier and more effective way to stop a crazed gunman. Arm the teachers. Put a gun in a locked drawer of their desk. Make sure they know how to use it safely and effectively. Who's going to storm into a classroom knowing there's a person somewhere in there with a loaded firearm more than ready and willing to empty the clip into whoever walks through the door? And if that crazed person does decide they have skill to forcibly enter a room, find the teacher, aim, and shoot them before that teacher takes them out, chances are, the teacher (who only has to aim at the door) will be far more likely to stop that crazed person before any further damage is done. It's just common sense. 

Or, we could continue to allow crazed psychopaths to enter our schools, freely enter a room and shoot up everyone inside without any real threat of death."
"237","Jew-itt school... LOL!! Pretty ironic when you see how many.. er.. Zionist's?? Are involved in theses psyop events.. (Sandy hook.. Pozners, Parkers, Kaitlin Roige etc etc)"
"238","most people in my school don't take this seriously"
"239","Let it be known that in ALL schools there might be staff that is armed.
Highly unlikely that a shooter would risk going into a situation and have no clue who is armed and who isn't."
"240","Jewett is a pussy ass school lol #Clearwater"
"241","At my school we are told to line up against the wall. The teacher puts paper over the glass/window in the door -_-."
"242","""These drills may be too frightening"" lol you think a real shooter is going to ride in handing out candy on a segway?"
"243","That's actually a good strategy."
"244","Guess what it ain't simple the shooter is most likely going to be walking around the school"
"245","+daniel fuentes


Tell that to your fellow people."
"246","Just because one person of that religion does something bad doesn't mean the hole religion is bad it's like saying if a monkey bite your ear off doesn't mean all of them will do the same"
"247","+The Guinea Pig Crew she was a student"
"248","+TacDemo: Guns & More as opposed to him just walking in and killing 5  


You Fricking MORON"
"249","And I just realized that that would probably never happen unless if the shooter came after school lol. Because all adults (teachers) would not be in a room together during school hours, they'd be teaching a class, which means that that method of throwing things would probably not work if it's a class full of kids :((( id hide my kids in the cabinet lr something"
"250","yeah but the guy wasnt actually fighting back"
"251","Because some mentally disturbed teacher will shoot a student and everyone will shit themselves"
"252","Ever since last year the lockdown drills have been changed by the state to fighting back instead of hiding. It might just be my state though."
"253","i think schools should take shooting drills more than fire because in fire drills u can excape but in shootings u cant at all do that"
"254","a teacher should be able to keep a taser gun so they could keep the kids safe"
"255","Not hating but if the guy would've punched, she would've lost and dies"
"256","Every 2 years our school holds a realistic lockdown drill that takes about 30 minutes where the police use fake weapons and give over a weeks notice to parents."
"257","Looking at all these teacher laughing at drills they have to fucking learn in case someone comes into a school to kill children. #merica"
"258","How about there's emergency weapons instead of playing hide and seek"
"259","my school had a 1 hour drill wtf and the cops are right next store"
"260","lmao it was such bull at the end. That man was trying in the slightest against the teacher. Otherwise he would have gotten his feet under him and lifted her off the ground."
"261","I support this, if a shooter manages to get into a classroom wouldn't you want your kids to be protected? As for enlisting the help of kids, if the shooter is outnumbered (were talking older kids not young ones) the chances of him becoming disarmed is higher. I don't have kids but I have 3 nephews, I would want their teachers to try and tackle someone if it can help protect them."
"262","some crazy fucked up guy can shoot the door open. schools should have a secret underground place to hide in while the police show up"
"263","Why can't teachers get a safe in their desk for a handgun. Have them trained to shoot and reload and clear a jam. Have teachers bring the guns home at night. I know I would rather have a gun during a scenario like this."
"264","well i live in NYC and shit like this not as common as it is in the suburbs so I'm good"
"265","This is helpful! Kids and all teachers should learn this drill. I will no. good night :) Happy Chirstmas!"
"266","Go to shelby county mt laurel we have a teacher who was a marine"
"267","All I see in this video is showing how to train shooters how to shoot up their school. If I was planning a school shooting I would go to a school that shows me were ever one goes including the swat team & snipers. I would do the same if this was a bank as well.  What causes school shooting is the media."
"268","I'd not sit in a corner I would beat his ass"
"269","One said Rachel Joy Scott 
D:"
"270","Holy shit"
"271","at my school we just sit there and joke about what were going to throw"
"272","Everything that they show is the OPPOSITE of mine ;) 
My classmates:....AHHHHHHHHHHHHHH Volume 10000090"
"273","I'm getting the fuck out of there I'm not dying"
"274","Smoke blunts bitch"
