"","his_data_2013.his_all_comments.textOriginal"
"28","Importantly, neither of these two young girls appear to be in either of the groups of children photographed by the Newtown Bee reporter in the Parking Lot of the Elementary School evacuating at 9:45am EST and 9:56am EST respectively."
"29","Yeah, this is nuts. Could be a total smoking gun, thanks for reviewing this."
"30","@05:14 Longitude =  41°25'24.66"" N Latitude =  73°16'36.89"" W : The house behind the ""father and daughters"", white picket fence, bush in the yard adjacent to the driveway, ""firehouse scene"" in the background down the road. We are east by northeast of the firehouse along Riverside Road. We see the adjacent driveways of the houses behind them, the mailbox, the dividing hedge. The shadows are nearly perfectly perpendicular to the ""Center Line"", slightly leaning east. 9:35am EST =/- 15 minutes."
"31","@04:01 we see THREE aerial vehicles in the sky, what appears to be TWO helicopters, and a much smaller vehicle, perhaps a drone."
"32","This clip begins, at 00:02, quite late in the day, shadows are very long and point strongly towards the northeast. The sun is bright and hot on the left, or southwest part of his head and face. It's near 2:30pm EST as the clip begins. And he says they have been there since 10:00am EST, and then corrects to 10:30am EST, both are crucial times here images and footage seem to be very, very rare."
"33","This was made a few days before the Sandy Hook shooting which would be at #1"
"34","That's funny, almost all of these mass shootings are taken place in a gun free zone! Hmmm....."
"35","only 10 common america , pretty sure your the best at school shootings"
"36","If only someone had a concealed 
"
"37","My sister was at the Dark Knight shooting. O_O"
"38","This was posted just nine days before the Newtown Shooting...."
"39","If this was after Sandy Hook, it probably would have been #1 or #2. For the Sandy Hook victims families, I'm still prayin for ya'll."
"40","""Top 10"" feels like an incredibly unfortunate title. haha"
"41","#5 yeah okay the ducking mcnuggets caused it : be
"
"42","My opinion: IF YOUR GOING TO DO A FUCKING MASSACREE WITH GUNS MAKE SURE YOU DONT SUICIDE AT THE END -_-"
"43","so scarey omg"
"44","just think... what if this video motivated the psychopathic killer of the sandy hook murders  to be at the top of one of these lists..."
"45","Listen people this list is not to being publicity to the shooters or their crimes. It is to remind and provide information to the masses about them. WatchMojo.com is not trying offend the family or the U.S. citizens with the video  "
"46","This is why you don't give people guns"
"47","And yet gun laws in the US are a joke! So sad..."
"48","I had a teacher 2 years back whose daughter was involved in the VA Tech shooting. It's truly a heartbreaking story. My condolences go to all."
"49","9 days later the Newtown Shooting happened which might have been the worst."
"50","marilyn manson , he has a good point"
"51","Come on now how ya'll gone blame chicken mac nuggets"
"52","Wow, this video was uploaded 9 days before Sandy Hook."
"53","OMG...  the fact that this top 10 list exists is tragic in itself.
How many mass shootings has this country had?  There's a top 10 list now?  the fack?"
"54","wait... no sandy hook?"
"55","doesnt really improve law enforcement times because it keeps happening in the US several times"
"56","The Columbine Massacre had me feeling upset because of the news and people blaming the Goth culture, for one thing, the Goth culture has nothing to do with harming anyone or anything because Goths dont associate with death with killing anyone as well, just cause we like scary things doesnt mean we want to go killing someone, we felt sorry over the cause of the massacre and when the discrimination came in, it broke me to see people blaming Goths. Goths have no association over violence, we're peaceful and most Goths care about their family, friends, and loved ones because Goths are still human, even when they have a liking to scary movies, or scary things, they still feel emotions, and still have remorse over the people they care about."
"57","Wounded knee"
"58","Stupid to blame Manson for the colombian shooting."
"59","Mustve been made before the elementary school shooting. THAT should've been number 1"
"60","Oh no poor Americans, one shooting and they all lose their shit but when there are 20 shootings in a day in other countries, they could not give the slightest shit. Pathetic."
"61","Funny thing is, a couple weeks after this video, 26 people were killed in a school shooting."
"62","What puzzles me is that the only shootings that start conspiracy theories are ones that are either the deadliest or the most covered. Guess these people are too stunned to really think rationally so they pretend the shootings never happened."
"63","even killing real people has now become an entertainment, and some fools think it's right to make a top10 out of it, as if it's an achievement.
""serves as a further reminder as to how unpredictable and horrible these tragedies can be.""
Yeah of course, this is sooo obvious...
Nothing but entertainment, if you ask me. You guys are fools, and you're not even aware of it. But eventually you'll realize it one day."
"64","America is the greatest country in the world!  Killing all those people before the cops show, GREATNESS!  Capitalist pigs deserve the psychos their culture encourages. "
"65","dude chill why would you do that"
"66","The Newton shooting where all those kids died u should be added but this clip was made before that."
"67","The U.S gov tried to change the right to hold a gun by providing a compulsory background check of future and current gun holders but nooooo... the american gun federations is too good for such a life saving reform =3= and so the reform was put into the reform graveyard "
"68","aurroa shotting  is a joke. people wants batman to save the world and magic happens a guy breaks in"
"69","god rest there souls who died in the list"
"70","it would be a shame if those Sandy Hook parents had forgotten to save their Christmas receipts."
"71","Gun control at it's finest."
"72","This video should not exist.  It will only tempt psychos to try and get on it instead of just killing themselves and being forgotten."
"73","I like violent video games and I will keep playing them but I really hope I stay in my right mind for as long as I live"
"74","wooow didnt expect that from marilyn mason, thats so true"
"75","American psichopats...I like it american kills americans :) good job"
"76","it's a sad day when you start ranking your shootings in a top 10 list"
"77","Three out the ten shootings took place in Texas.....hmmmmm."
"78","This vid must have been done before the Sandy Hook shooting because that one would probably be #1.  Sad but true."
"79","It's funny because they say that after virginia tech security increased in schools. How so because in my school if you walk into the school between the hours 7am-8:05 am where it is open to students to come in you don't check in at the front desk so anyone could easily get in without any problems"
"80","lol this video shows you something you'd never see today. A shooting VICTIM DEFENDING the 2nd Amendment."
"81","+TheMrSkelington090  you say the more people with guns will lead to less violence because.. for the majority.. these guns were bought illegally. I remember researching these events last year when they occurred and in reality the guns they had in possession were all legal bought guns either owned by their families or by themselves. So where exactly are you getting your information from??  

Look at Japan. Guns are not legal there by citizens and guess what there crime rate is unbelievably low.  Although that is also associated to their beautiful culture of honor and respect. "
"82","wow this was posted just days before the Sandy hook shooting"
"83","how come it's so easy for Americans to get guns?"
"84","WHY THE HECK IS THIS A WATCHMOJO LIST?!?!?!?!?!!"
"85","+Drew Blackburn I never said that taking away guns will solve anything. I said that the media has a huge impact on people. Not just the media but politics as well. The united states has gotten away with all these bombings and shooting on innocent people and it does affect the people back at home. Did you know that tge United states has one of the highest murder rates in the world? Why do u think that is? What we see on t.v. has a huge impact. Not on everyone but it does. & what I meant was that the second ammendment was instituted because of the British invading america my bad smart ass."
"86","In 1990, Julio Gonzalez killed 87 people in New York with a can of gas and a small flame."
"87","Guns were created to defend ourselves from the British that is where the second amendment came from....but years later do we really still have to defend ourselves against the british? That being said I'm not saying we don't have the right to own a gun but look at all the shit u see on tv. This person killed so and so and all you see on tv is violence and the need to have a gun increases. I bet that if the media decreased all of that, homicide rates.will go down. "
"88","That's a crazy country"
"89","Sandy hook.

R.I.P to all who lost their lives that day."
"90","the world is a dangerous place"
"91","God bless every person's family that lost there lives in these events and injured."
"92","I agree with what Marylyn Manson said no one listened to those kids
"
"93","Columbine security tapes are worse than you can imagine...especially the audio of taunting...uh one thing I wish I never watched."
"94","My condolences to the family's that have lost people in these shootings.
 "
"95","I swear, it seems like shootings are just a fad now. People are just sick. I just can't get over how evil and sinister people can be."
"96","this was 9 days before the biggest one..."
"97","I wish there was a device that could teleport police immediately during a crime"
"98","well wat are they going to do"
"99","deng it happend on a military fort wow"
"100","sandy hook hoax"
"101","no St Valentines Day Massacre?"
"102","Alright, to everyone that's raving on about gun control or expansion; ALL OF YOU, shut up and sit down. Arguing isn't going to help anything. The confiscation of public fire-arms isn't going to help, and neither is mass production and distribution. This is a problem whose cause has yet to be determined. Multiple fingers have been pointed at a varying degree of media advents, lifestyles and social pressures, but none of them have provided any truly tenable answers. And guess what? We're going to keep studying what we've got until we do. So, let's keep politics out of this, work on getting the solutions we need, and end the issues before they begin.

But wait, this is Youtube. The fuck's gonna listen to me?"
"103","shooter mostly go for GUN FREE ZONE because they know that no one there have a gun, that why I support CCW on school campus (:"
"104","schools always say safety is the number one on there list. yet anyone could put a loaded gun in there backpack and shoot because they don't even cheak"
"105","Their is one that just happened today. Sad but true"
"106","I think this should be a lesson to everyone we don't give guns to crazy motherfuckers"
"107","now I watch this video any since it on the fifth day of dec of last year(2012).and I got to say you guys need to do A freaking remake,for two reasons.one,is that after more mass shootings then these(like sandy hook or the washington DC shooting). two,is that you guys mess up these storys,well most.like not only marilyn manson or doom cause columbine,but even the freaking matrix and NO I don't care you guys said that  after this short flim was post on here.I don't.HELL,stuff like drugs or their life problems also are leding to the fucking massacre.and seung hui cho killed his ex-girlfriend before his deadly rampage.don't know why they forgot that.and they also forgot that james holmes boobly-trap his colorado home.WHAT THE HELL."
"108","did Marlyn Manson just school that guy?? wow"
"109","It's unfortunate that people can become so crazed and delusional, or just be so terrible and cowardly by nature."
"110","Nine days before Sandy Hook, eh?"
"111","Marlyn Manson is one the smartest people in the world."
"112","I wonder where sandy hook whorls be placed"
"113","Made in the USA"
"114","why is nobody understanding the anarchy and thinks that that is a riot or fights or wars or...?!?!? i mean WHAT THE FUCK people?"
"115","What about the kennedy assassination"
"116","sandy hook"
"117","I ranted on this video after the first time I saw it, and seeing it for the second is worse than seeing it the first time. Because knowing that shootings are probably happing all over the world right now as we speak!!! and yet, President Obama still won't get off his lazy ass, and say ""WE ARE BEING STUPID, AND PATHETIC  FOR NOT BANNING GUNS!!!! WE NEED TO GET OFF OUR LAZY ASSES, AND ACTUALLY DO SOMETHING ABOUT IT!!! FOR CRYING OUT LOUD PEOPLE, LOOK WHAT HAS HAPPENED IN THE PAST!!! WE ARE GOING TO DO SOMETHING ABOUT IT, AND WE ARE GOING TO BAN GUNS!!!!!"" that's what Obama should say. the Americans voted Obama to be president for a reason, then he should do his damn job!!!!! "
"118","Top 10 mass shootings! How do you rank these? Weapons used? Age of victims? Age of shooters? Public setting? You know you're glorifying these crimes right? ""Geez I want to make the news or a top ten! Shooting a lot of people is the easy way to do it!"" When are you making a top ten bombings list? Or a top ten serial killer list?"
"119","6:05 ""I wouldn't say a single word to them I would listen to what they have to say, and that's what no one did.""

If more people did that instead of just telling an adult, or the police, or some other authority figure, less school shootings would happen. I'm not saying NO school shootings would happen, but less of them would. When we live in a world where some of the greatest monsters haven't even graduated yet, we need more open ears than ever. More people need to understand that when a kid is in pain-when they're miserable, or angry, or both, they don't need to be talked to and told how to handle it all. They need to be listened to.

I was depressed and fatalistic in high school and though I didn't bring a weapon to school and go on a murder-suicide rampage, there was mindless violence and an instance where police and an ambulance had to come to my school and a student was wheeled out in critical condition. If more people listened to kids instead of talking to them more kids would be able to handle their pain. There would be less school shootings/attacks and there would be more kids going on feeling good about themselves and bettering themselves. They would better themselves because they would have the strength to.

There's a story around the web [http://www.snopes.com/glurge/kyle.asp] and though it may be fictional the possibility it speaks of is very real. Before you think of the outcast getting bullied and harassed and think ""If I befriend him it's social suicide"" remember that leaving him to suffer alone and in silence can mean suicide-or worse, mass murder-suicide, for him. A boy in China was threatening to jump off a pedestrian crossing was stopped by a girl who had never met him, but lied to police saying she was his girlfriend so she could speak to him and give him a kiss, after which he let police lift him back over.

Be the good in this world. Stop a minute and think of others, because a few minutes out of your day could mean the rest of someones life."
"120","What in the hell is wrong with people these days?!"
"121","Go read John Allen Muhammad (Beltway sniper) and its clear he was doing Allah's work. No doubt at all."
"122","Oh boy I wonder how many new and exciting mass shootings we can add to the list in 2014!"
"123","""Nothing like this has happened in Montgomery County""  - no shit i would think Snipers picking off citizens wouldnt be a common thing in Montgomery, TexaS ..."
"124","Kids wouldn't. Do this if there parents. Just listen. To them so. Just listen. Parents."
"125","Most mass shootings were in gun free zone and the plan of government is to make all America a gun free zone..What??  "
"126","I live in colorado there a shit done of stuff happening right now!
Good luck Colorado
Hopefully we dont get nuked"
"127","it's sad all of these shootings happened. but yet people don't ever think about the areas of these places ALMOST ALL PLACES were ""Gun free zones"". I should know I have a friend who is dead because of ""GUN FREE ZONES"""
"128","Now if more civilians had concealed guns, most of those shootings could've been stopped before they got that far. Cops can't teleport, so the next best thing is to give more people the ability to defend themselves when the cops aren't around, and they won't be most of the time."
"129","The parent generation always blames the aspects of the younger generation that they do not understand.  Billions have played video-games at some point or other, probably combined millions have attended Manson concerts.  Did all of them become mass shooters?  No.  Did absence of these activities prevent others from becoming mass shooters?  No."
"130","""Ranging from eight months...""  - yeah, a real man shoots a baby."
"131","I really liked what Marilyn Manson said at the end. Pretty bold."
"132","this is why America need better gun laws. these massacres are just going to get worse and the government will use those excuses to take away free will"
"133","You can make a list like that every year."
"134","Nothing about all those little kids at that elementary school wow"
"135","if you think violent video games result in violent behavior than your a fucking retard"
"136","I remember the VT shooting. I still live around Virginia, it passed, and I vaguely remember it, but I don't get why the hell people do that kind of shit."
"137","I still remembered #8, since I lived 20-30 miles away from the place of where the first known survivor of that tragedy, and my mom used to work in the adjacent mall next to the shooting site (but quit her job a couple of months before the shooting happened)."
"138","Didn't watch it, not gonna watch it. Delete this video, don't glorify the actions of these sick fucks. The word 'infamous' is exactly what these disgusting creatures wanted, and congratulations WatchMojo, you gave it to them. "
"139","Number 2 should be number 1"
"140","WHAT ABOUT THE MEN, WOMEN AND CHILDREN IN SOUTH DAKOTA SCHOOL SHOOTING KILLING ALMOST 300?"
"141","4:20 Cold in hurr"
"142","They need a update episode for 2013"
"143","this came out nine days before tue sandy hook massacre ... ):"
"144","i can't believe how they can blame a rock singer for the columbine massacre!"
"145","These fucking shootins are caused from the fuckin american president barack fuckin letting people have guns for self defence just fuckin learn some fuckin karate or some other shit made for self defence."
"146","AND TODAY WE WILL BE COUNTING DOWN MASS SHOOTINGS!"
"147","Crazy losers"
"148","woooow... Hate to america confirmed. you need more guns. I'm thinking ten each..?"
"149","1:16 guy on the left looks like barack obama and oj simpson mixed."
"150","yesterday i over heard a woman talking about a guy she knows that came back from iraq and how he changed , she said he likes watching videos of people killing others and talks about how he could kill someone just because he knows how . if you ask me thats a walking time bomb ."
"151","heartless :("
"152","It's so creepy ,this was upload just 9 days before the Sandy Hook massacre , in my opinion that's the worst of all , most of the victims were just little boys and girls between 6 and 7 years old , so sad and scary ,what the fuck it's wrong with the world?? if u hate life and people so much ,kill yourself and avoid causing so much horror and pain to innocent people ,and it looks like these assholes always look for children or young people ,it's so fucking sick ,that's why I hate violent video games ,they only promote this crazy idiots with ideas , schools need better security nowadays ,it seems like this is happening more and more :("
"153","4:45

No legitimate sporting reason to have the guns? Honey, the 2nd amendment doesn't say we have guns for hunting purposes. It's our last defense against tyranny and injustice within the government. Yes the mass shootings are tragedies we can't ignore, but blaming an object for the person's action is rediculous"
"154","+Sean Mounts Not really trying to compare, but personally, I think slaughtering innocent children around Christmas time is far worse of anything that's out there "
"155","+Zachary Andersen what do you call a 5 year old with no friends???"
"156","you are sick fuck..."
"157","+windstorminator ""...and do what you americans normally do...""  You just completely invalidated your argument with that single line."
"158","psychopaths like seeing them selves on the new's. Usually they don't have friends and have been bullied and ect. They like the attention that they get because of the media. Blame the fucking media. If you don't live in America why the fuck are you bitching?"
"159","To teach. To remind. To get people thinking. And to hopefully help prevent another incident. At least I would hope that's why."
"160","You know people always talk about stopping it but the truth is that people will always. Do things like that even if the media didn,t glamourize it most people think about doing about doing. Extremely violent things you the only way to stop it is to figure out the person you do. That you could stop but that Maria is incredible hard and not mention the fact that you don't know who is going to do that. We don't know what people think and we don't really care about their pain."
"161","Good lord, your profile picture doesn't make you look blonde but I guess you are. Guns were invented hundreds of years before the revolutionary war. And please explain how taking guns away from the people who go through the legal process to get them is going to help anything? The people who generally commit these mass shootings do not own these guns legally, therefore it doesn't matter if you take guns away or not, these physcotic people will still find away to get them. Not to mention it will ruin millions of jobs related to guns."
"162","+Raven Nicalls  None of those are mass shootings. "
"163","+Kai-Wen Chen Now, of course, you ARE correct if we're specifying a lone gunman without the use of explosives limited to the country of the U.S... But I wasn't considering that much specification in my examples."
"164","+Kai-Wen Chen You're still wrong.

In 1927, a single person killed 45 people in The Bath School disaster.

And then more recently, in 2011, Anders Behring Breivik killed 77 people and injured 319. 

And that's leaving out the 2004 Beslan school hostage crisis, which was a whole group of people holding a school hostage for 3 days. It ended up with the death of 385 people.

Virginia Tech isn't the deadliest massacre, and it's completely plausible that the ones I've listed have been outnumbered. Especially if bombings had something to do with it."
"165","No, Virginia Tech still was the deadliest massacre. Cho killed 33, Lanza killed 28."
"166","You are retarded"
"167","He's being interviewed by Michael Moore for Moore's documentary Bowling For Columbine so he really didn't school him...It's a great quote & perspective from an actually pretty intelligent individual.  Great docu BTW."
"168","i think he did. Marlyn is a smart man ppl like to forget."
"169","Well that's fucked!"
"170","Thats right, Im not kidding around ;)"
"171","Of course. But I don't think he's kidding around"
"172","+Collin Isaac I'm assuming we're talking about MrPotatoHead187"
"173","+brOwOlo Ok, how do you know this he couldn't care less about attention"
"174","1"
"175","+Mike Musto
Its not glorification. Its more of a documentary. "
"176","+DLopez927 I wasn't being serious. I was being sarcastic. My point is that when you turn mass murderers into celebrities and have ""Top 10's"" for massacres of innocent people, you are basically turning these things into entertainment."
"177","i grew up believing there was no such things as monsters.  You sir are insane"
"178","Montgomery County Maryland. Not Texas."
"179","Wrong Montgomery."
"180","+bob g But that is my point, no semi automatic weapons no magazines... 
So you have your concealed weapons and they are just as effective. You just can't massacre people so easily. 
""It only takes one arrow to fell even the fiercest warrior"".
^ an old proverb and it still applies you only need one bullet to incapacitate or kill someone.
Why do you need 10 or 15 or 20?
That is my point."
"181","+Luke DS have you ever actually reloaded a weapon with magazines?  it takes a couple seconds, not to mention you can tape them together to make it even faster.  These columbine demons had 45 minutes inside the school.  

There's no common sense to limiting magazine capacity, its just retarded and obviously was dreamt up by some politician who's never held or fired a gun."
"182","+bob g You don't see my point. With high capacity magazines you can fire more rounds without reloading correct? And with low capacity magazines or a revolver you fire less rounds before reloading correct?"
"183","they were in the school for 45 minutes.  What they used doesn't matter at that point.  Besides, what do revolvers have to do with anything?  "
"184","+bob g They did use assault weapons though that's my point. You can't kill 20+ people with a revolver before reloading. "
"185","They will need an update episode eventually because another shooting WILL happen again soon one way or another. The root cause of this problem still exists. It hasn't been solved yet."
"186","+Grimeyhoob i never asked for this. teach kids how to use guns and carry guns in thier lunchboxes. i dont know about that idea guys... maybe because THEY WILL KILL EACHOTHERS WITH IT! but you know its AMERICA the free country of guns and freedom, i wont stop you guys to have your kids have guns because that is equals freedom right?
but its just... wrong to teach kids guns when you dont know one of the kids gonna start a bloody gun war in the cafeteria... it bothers me a little."
"187","+171videoman What do youmean what have you done? "
"188","Sandy Hook's tragedy kind of reminds me of what happened in Dunblaine in 1996."
"189","ohgodwtfhaveidone"
"190","I agree mate, we need more assault rifles and guns to protect against these mad men. We need to teach armed combat training from kindergarten for infants, that way all children will be armed. Kids need to carry guns in thier lunch boxes to school, thats the America I want to see, where kids are safe with their guns."
"191","Didn't know that. Glad she supports it"
"192","that's what she was trying to say if you listen carefully at the end of her clip she says that's not what the 2nd amendment is about she supports concealed carry and other guns"
"193","Mcdonads nuggets ""made me do it"" now that is Insanity! Im sorry but that made me laugh"
"194","Just think, Sandy hook happened not long after this video was made"
"195","Personally I think the UT shooting should have been placed higher. We have to remember that this was the summer of '66. It was so extreme for its time. The police had no formal way (like swat teams,etc.) of handling it. And, btw, I don't think its been proven beyond a shadow of a doubt that the brain tumor that Whitman had played a part in the massacre or how much it may or may not have played in his behavior."
"196","yo take this off, no need to glorify or to say which one is best, all fucked up, all sick, all NOT COOL."
"197","the music in this top ten is pretty horrible, the music starts out well at the start of every number, but then switches to this very bland melancholy guitar music"
"198","I could have sworn more people died in aurora "
"199","Blaming video games, music or movies still? All I need to do to see some violence is turn on the news. Unless the world is in perfect peace, we will all be seeing violence or hearing about it through media. Until then, I will rock out to Manson, play all the ops I want, and watch goodfellas. 

On a different note.. Rest in peace to all these people. No matter what opinion any one has on who is responsibly, it's still tragedy. "
"200","btw did you guys notice from sandy hook they never showed any evidence of bodies nor autopsy reports nor surveillance footage of the shooter nor anything and the parents laughed and smiled the same day on tv and shed no tears. "
"201","the sandy hook shooting was staged."
"202","White was really evil in the 1600-1800"
"203","(Yes/ja
|I/jag
|Am/är
(Swedish/svensk"
"204","Ida u need to calm DOWN us has many small crimes It's a crime land.
+killen i Norge var sinnessjuk "
"205","Sandy Hook"
"206","im still waiting for top ten terrorist attacks"
"207","Great informative video, to th epoint.
But still very sad, best wishes go out to everyone affected.
Whoever said to break the record go fuck yourself."
"208","Anders Brevik? NORWAY MASSACRE????????¿¿¿¿¿"
"209","Poverty is the route of all evil"
"210","Give retarded people all the guns they want and someone is gonna get shot.sort ure arms laws out America and this won't keep repeating itself.my heart goes out to all the people effected by these shooting.i live in England where we have strict gun laws.but still everyday people are stabbed to death and guns find there way to our streets.without these laws i imagine it would be much worse "
"211","Someone out there needs to break the record."
"212","I bet you all that most FPS gamers don't even know the difference between magazines and clips are. Most will call any rifle with a scope attached a Sniper Rifle. Most will be a little disturb, have that look on their faces or even freak out when they see a real life firearm. Most won't even know how to load up a empty magazine or empty a loaded magazine. Most will be so surprise how heavy guns and ammo combine. They will even more surprise how much mobility and their movements becomes limited when they carry real life firearm with ammo."
"213","I realize that Newtown isnt on here ( RIP ) but I would like to think it was the worst shooting in the US "
"214","05:30 Once again; THIS HAS NOTHING TO DO WITH ANARCHY!!!!!!!!"
"215"," #MichaelMoore  "
"216","At...At 5:46, were the two reanacting DOOM?..."
"217","its disgusting to make a countdown like this...."
"218","Manson is a genius!"
"219","dayumnn people are weerd these days"
"220","welcome to usa"
"221","I dont think we should remember these assholes. WE should remember the victims and how they lived. "
"222","And people wonder why these assholes go around committing these mass shootings...

It is because they make a name for themselves thanks to our violence hungry media. We do not remember the names of the victims... But the Shooters go down in history.

Awful."
"223","Watching this deeply saddened me."
"224","This is why the US should legalize concealed carry of firearms nation wide. If there was a citizen carrying a side arm in any of these situations, the casualties would have been from 200 to 20"
"225","Most of these were in Texas... and these Republican idiots are still opposed to gun control laws."
"226","What about Sandy Hooke Elm. R. I. P kids"
"227","sorry but i couldnt help but laugh when they said that McDonald's chicken nuggets led to that man's psychosis."
"228","And after all of these shootings the goverment refused to do anything about the gun law"
"229","you know what i hate? people that blame music/video games/movies for peoples insanity. people would rather blame others than their own psycho selves."
"230","What VA tech didn't get number one, but the death toll was the highest."
"231","What about the north Hollywood shootout? "
"232","Nick JEWell shut up you fucking kike"
"233","I mean, those 11th century crusades were ultimately caused by those violent video games they used to play, right?....  orrrr was it ignorance"
"234","Behind of the public terrorist acts happened in schools and universities , with many civil innocent victims, are hide the demons. The idea is take the guns out of the hands of the civil people.
The zombie fashion was planned to create a caos (movies, video games...), at the same time they introduced drugs like the bath salts, the people who used this drugs looks like zombies, and with the subliminal on the media always saying ""kill the zombies"", the people will shoot to this drugs users. The plan is take the guns of the people saying ""it's too dangerous for the civil citizens the use of weapons"". Because the demons are afraid of a civil war if they impose a communist regimen. Take a look to the William Cooper videos about the NWO."
"235","#8 and every kill their was a wight box van"
"236","Games? Music? come on"
"237","'Violent video games made my child shoot his grandmother!'
Really? It's not that you let your young, impressionable child play a game that is clearly too mature for him, you left a loaded gun in the reach of a child, and weren't even keeping on eye on your child while it was near said gun.
Plenty of people play violent video games and don't turn around and shoot random people."
"238","This is america"
"239","They can't blame it on video games I play video games and I'm not tempted to go out and shoot people it's not right it's inhumane people that commit the crimes are sick and most likely brain dead "
"240","Ever since 1961 people have been trying to make gun laws more strict and it still hasn't happened . What is this ?! "
"241","nothing better than getting of GTA going to school and slaughtering everyone I see because...VIDEO GAMES!!! and umm BULLYS or something."
"242","That whole blame video games argument pisses me off, mass shooting have happened before, but these idiot politicians love to scapegoat video games."
"243","im not trying to belittle the severity but it was the nuggets
 "
"244","not even simple background checks seriously youre going to fight the american military with your ak and a shotgun"
"245","only in murrica! USA! USA! USA!"
"246","every school shooting was committed by a liberal, I can prove it."
"247","it's f*cked up that you this country even has 10 mass shootings, let alone the top 10 "
"248","9 days after this video.... The 1 massacre.... 
"
"249","Fun Fact: Eris Harris and Dylan Klebold weren't fans of Marilyn Manson. They said he was too flashy. They hated people in flashy clothing. It was because of bullying and the fact that no one ever did anything to stop their bullies. Hell, even teachers made fun of them.
I really wish people would look into the case as I did."
"250","LOL please don't talk shit about white people when blacks and Spanish are the majority of criminals in America. Yes there are lots of crazy white people but niggers and spics are the reason so many killings happen here"
