"","his_data_2014.his_all_comments.textOriginal"
"47","Are schools like from the outside. Someone on the inside. Has to open the door. Or the shooter would need a key. These school lockdowns though do not make me feel safe. Duck and cover? Protect your head. Yea a hand in front of my head won't help. Schools need better security "
"48","My school has the worst drills ever, considering that they call themselves the best school in the state, or nation. During a lockdown, they literally just shut of the lights since the doors are locked already. And they carry on class."
"49","How could you stay living in a country where school shootings are the norm?"
"50","OOOORRRRR.... You could just ban guns?! "
"51","I aint black and I wasnt racist in anyway and your state its god damn crazy"
"52","You fucking my state? Racist black."
"53","Chill..."
"54","+Brandon ellis true there is an always going to be some kid tryna get the gun."
"55","There is something called being insane. Some teachers are insane."
"56","+Jenna Blue  And people can't figure out for the life of them WHY parents who can homeschool choose to. 9/11 was scary enough for us at home, I was always glad I was NOT there the next summer when my neighbor pulled the fire alarm and watched all the kids panic because they thought they were under a terrorist attack, and he laughed his ass off that they were all crying and thought they were going to be killed, and then the possibility in more recent years than that that some kid or some adult is gonna come in and shoot everybody because he's a worthless pansy. Kids do NOT need to grow up in that environment."
"57","lel"
"58","+Morris Falker  Thank God for homeschooling, it's the ONLY place common sense thrives in children's education anymore."
"59","+ronan sweeney  Parents are already paying out of pockets for school supplies, books, any sports uniforms/equipment, PLUS they pay hundred of dollars a year for the privilege of just having their kids signed up FOR sports. Somehow I don't think their priorities are in order."
"60","+TheBookWorm1718​ im sure they could do something in which the parents would found towards, parents will be more than happy to insure there child's safty "
"61","+ronan sweeney  Where're they gonna get the money for that? They already subject us to 10,000 bake sales and car washes just so the cheerleaders and football players can get new uniforms all the while they can't even bother making sure each kid has their own set of textbooks, there's no budget in saving lives."
"62","+Vance Stone I doubt that they will successfully tackle the shooter and if they do well they need to face some objects like chairs table other stuff too."
"63","Yup like sitting ducks they want em .."
"64","+darian fernandez "
"65","Well in Canada we dont have this and I hope we never do"
"66","This is about safety you idiot"
"67","Racist."
"68","True"
"69","How do you NOT pay attention to school announcements? I have no sympathy for these dumb parents whose kids have cognitive and attention deficit problems. I really hope the school punishes these dumb kids for not paying attention and for causing all this unnecessary trouble."
"70","This is good. I agree with this. "
"71","How about stronger doors with better locks! This is now more money for these contractors! Doors that can not be kicked in or opened without great difficulty wood do more to save lives than training people to throw themselves at a person hone mad!"
"72","Prepping the kids for martial law smh"
"73","Probably the same as if it was real because they pass drills off as real"
"74","It's america! Of course you need gun drills!  "
"75","Its so sad that American schools actually need school shooting drills...."
"76","just locking the door and hideing behind the deck thats it thats not safe at all if someone is insane inough to do a shooting at a school dont you think its too easy for him/her to find the kids if there not in reces there in class and then there stuck in a room who can be easly be broke down if the door was suported by the decks than good "
"77","I am so glad because of my Jewish privilege. It's hard to beat. My children go to a private institution unlike JEWitt academy. The chosen ones are not subjected to such violent scenes because it is harmful to their spirit."
"78","+BlueFlame Saiyan because the board of education said so."
"79","so why are they preparing you like that when in real life you are going to do something different"
"80","Thats what I told some of my teacher but they said if it was real we would just go a different way."
"81","+koliop941 anti semite. you are being reported to the ADL. you will be sentenced to 1000 years dungeon for you intolerance."
"82","Piss off. Take your religion back to your synagogue. Don't shove it down other peoples throats. This is the internet where people come to laugh, not worry about religion being forced upon them."
"83","+Aylin Kuru  lol I know it could just be a troll but i head nothing to do so i just want it to see if i can troll a troll .It's ok my English is way worst and it my first  language. XD"
"84","+bryan740710 Sorry for my english btw, I'm from Germany soo.. xc"
"85","American ads seem alot blunder and more ""desperate"" (so to speak)than British ads!! How it seems any way..."
"86","Kenny Grimes I just hope u never have children and if u have heaven help them having a piece of shit like u as a father"
"87","Cannot believe the irony (if that's the right word) of dark knight rises ad on this video...still sandy hook was only weeks after aurora.....where are all these psycho nutjobs coming from????"
"88","anyone who thinks this is a hoax is a blithering idiot!!!!!!"
"89","Fuck this broken healthcare system"
"90","people calling conspiracy theories, I hope you get to tell these parents that their children dying was fake. I'd love to see the beatdown that happens after."
"91","Sandy hook equals HOAX HOAX HOAX. Since I said it 3 times it must be true"
"92","Do you idiot promoters even realize that 3 of these 8 year old  ""actors"" when asked on national TV if they HEARD gunshots ( Dr OZ show)  from a high powered rifle ( people on shooting ranges used EAR PROTECTION since the noise is so loud ),  

the girl said she heard police walking on the school roof and NEVER mentions gunshots! "
"93","Wow, I must really be a glutton for punishment. "
"94","What is your proof that this is a hoax?  Show me actual proof, not your conjecture bullshit.  Show me bank statements, phone records, tax records, birth certificates, ""actors"" appearing elsewhere, show me something that isn't your bullshit conjecture ""proof"""
"95","https://m.facebook.com/HoaxAtSandyHook?refsrc=http%3A%2F%2Fwww.google.com%2F&_rdr

Join people"
"96","Please compare the news coverage of this shooting and more recent shootings (I.E. the Marysville, WA shooting that happened today RIP).  You will notice that the response to this shooting was relaxed and not urgent at all.  Bodies werent being rushed to the hospital, trauma helicopters werent called.  Only a handful of students are shown being evacuated from the school.  All of these things are polar opposites in more recent, more real feeling shootings. "
"97","2 handguns, specifically a Glock and a Sig Sauer, recovered. No mention of the AR-15 that was ""used"" for the shooting. Interesting to say the least."
"98","at 1:09:36 the time is 11:43 AM ET (bottom, right, CNN logo). Alexis says she heard police on the roof, but the first real evidence of police on the roof is recorded by CSP dashcam 837 pt 2 (on scene and recording 9:53) at... amazingly... 11:43. Are you sure about that Alexis??"
"99","The parents didn't suffer, they have made thousands, upon thousands of dollars by pretending their child died. That's why there hasn't been any lawsuits to date.

I've put the 3 police dash camera's side by side and went through the police reports, and found there was no mass evacuation of the 575 students. No EMT's or rescue workers, just a couple of police officers walking around. When CNN says @ 14:00 that nobody's being evacuated, that's contradicting the official report.

Stop being ignorant and face the truth. Read the report. Look at the pictures and videos. Make a choice based on the information, not what you're being told."
"100","What an ignorant cop at 17:00.After 14 years he still calls the Columbine shooters as the trench coat mafia. Such ignorance such dumbness."
"101","SANDY HOAX"
"102","quick question, if sandy hook happened on 12/14/12 then why on the FBI website was the incident report released on 12/13/12 and why does Adam's ( the shooter ) death cert say he died on 12/13/12?? It doesn't make any since!!!"
"103","They were just babies."
"104","Not a single mention of this since then, what a shame"
"105","Dear God, CNN takes a lot of commercial breaks."
"106","The people who say these shootings are hoaxes make me so angry . A shooting happened at my Highschool a few months ago, and people said that was a hoax . My friend died . They aren't hoaxes . They are very real. "
"107","Awful."
"108","I work for schools with kids around that age, I almost had to leave after hearing the death toll of children, I could hardly bare looking at them knowing what happened just a few states away."
"109","would it possible to re-upload this video without the commercial breaks ?   "
"110","Breaks my heart the kids who lost their lives didn't get to spend the holidays with their loved ones. "
"111","CNN interviewing the kids. WTF! "
"112","NEWTON ? Dumbass try NEWTOWN  NOT NEW TON GOOD LORD"
"113","CNN lies. I have found them lying about reports."
"114","bedengen o noa lik let a9729183"
"115","That was a very horrific day for Newtown, especially the fact that the school had K-4th graders."
"116","lol he got a pretty high kill score. Too bad he didn't make it higher. He should have taken out another room before blowing his brains out."
"117","This is why law abiding citizens should be able to own firearms. If our Gov't takes our firearms only the bad guys will have guns. We cannot defend our children with bb guns. Use you heads people."
"118","These parents? Please. 
EVERY LAST ONE OF THESE LYING TREASONOUS FUCKERS SHOULD BE LYNCHED!
Peaceful enough for you?"
"119","From 1:12:34-1:12:54, Alexis Wasik looks very confused at all of the fakeness as I can not blame her."
"120","Does anyone question who actually OWNS the mainstream media? Whoever believes the mainstream media prior to say, 2005, and continues believing it even to this day especially needs to wake the hell up by now. If you don't know what I'm talking about, your computer is right in front of your face."
"121","Be not a witness against your neighbor without cause, and do not deceive with your lips."
"122","Just watched ABC's live coverage on this event... Very Disgusting!!!  Can't believe this!!!"
"123","Forgive me, I'm in England. Why so many breaks?"
"124","The anchor should have cut off his guest, given the nature of this story, as in ""Sorry, but we have to cut you off now; we have a report that there's been a shooting at an elementary school in Newtown, Connecticut...""."
"125","Thank you very much for sharing these breaking news videos.  If you have any more available, I love to see them - especially any more Boston Marathon bombing videos from the manhunt.  Thanks again!"
"126","the only facts here was Sandyhook is in CT."
"127","Has the security footage been released yet?  I don't watch tv 'news' but thought looking at the coverage would bring insight.  Boy was I wrong.  I made it through an hour of this video.  Where are the paramedics rushing into the school after the shooter died?  Where is the footage of ambulances speeding to the nearest hospital?  They claimed the school was on lockdown for over an hour, yet the first live footage was absent of paramedics.  Showing the school security cam footage would clear up a lot.  "
"128","it must be hard to stop all the hoax children from seeing the msm"
"129","+grungedog3 umm someone is ignorant."
"130","Why does Alexis' dad have his hand around her throat? Has he been arrested for child abuse yet?"
"131","Hoax"
"132","+Awakened89 Your point is mute as your are assuming things that need took place. Focus on the lack of first responders. Notice the entire road in front of the school is blocked with cars. Would NEVER happen in a real emergency. "
"133","time zones in the usa range to 3 hours ahead or behind dumbass!"
"134","Maybe because  time zones are just a simple mistake you dumbasses"
"135","Cause this so called 'shooting' was supposed to take place on 12/13 and someone didn't get the memo... "
"136","They try and get information during the breaks."
"137","+Liv Basile
Is that what Jesus would say? You goyim are all the same."
"138","Dont you ever joke about something like that you are a sick sick person and needs to go die "
"139","Who said the Gov't was going to take firearms from people in the first place?! Please inquiring minds would like to know because otherwise, you are spewing shit to cause unnecessary chaos.
Just to save your time but most especially mine skip citing any bullshit from FOX bka FIXed news."
"140","+ausador just a fucking stupid asshole, huh??? How much do you guys get paid???"
"141","Just the hate."
"142","The mainstream media has deteriorated since the fairness doctrine was struck down.  Now it's all politically motivated commentary with very brief moments of semi-truths all presented in a way to make profit.  There was a time when networks expected the news to lose money, but it was considered very important so it was kept.  There are still independent journalists with their feet on the ground getting the story as it really is.  The real journalists have 2 enemies, the MSM who refuse to present their stories in a non-sensational manner, and on the other you have conspiracy theorists who believe they have the answers for everything making bizarre connections they present as ""truth"".  The actual truth lies somewhere in the middle.  Finding real news is hard and takes time.  You have to filter between corporate noise and insane people.  But buried deep amongst the information rubble, it's there.  Not as rosy and CNN presents it, and not as bizarre as Alex Jones presents it."
"143","the government does. in the NDAA bill it says that propaganda is legal. that means the government can say WHAT EVER they want to and get away with it."
"144","they just tell you what report. government is the biggest cooperation there is. warmongering, drug running, human trafficking, mind control, propaganda. oh, and the 'new' NDAA says that propaganda is legal.
 "
"145","Because we aren't socialists, government doesn't fund broadcasting."
"146","Money money money. That's why one reason I love football (soccer) one commercial break in 90 minutes."
"147","+TimStarz04 go away"
"148","How do you know Sandy Hook is in Connecticut? What if the entire state of Connecticut is just a hologram Obama is using to make us conform to his health care laws?"
"149","+signalfire6 unless you're decapitated you assume people are alive and try everything to save them. Someone declared all 26 dead at the same time, only a doctor can declare someone dead in Connecticut. No emts where allowed to enter,no life support helicopters, a crazed kid with asbergers somehow got a 99% kill ratio....people forget about Natalie Hammonds fake ass. 99% of this country is stupid as fuck and I can't wait to see what comes next. You're all pieces of shit that deserve all of this"
"150","+signalfire6 that's not true"
"151","No security footage and the dead kids were all full of three to eleven holes apiece, in first graders. It was inferred that many or all had head wounds.   No need to bring the paramedics in to see that; a few cops declared them all obviously dead; a few that were still breathing or looked saveable were evacuated before the cameras arrived. "
"152","from what i have read and watched there was no security footage., then new cameras were installed. when asked who instated the new cameras, the newtown police department, or some one in charge of the PR said that releasing such information would be a risk for the children. KateSlate11 and TeamWakeEmUP have some very good videos on this subject. also check out Sofia Smallstorm Unraveling Sandy Hook. that is a very good video."
"153","Apparently not since that sang at the superbowl"
"154","+Carter Wale lmao....really?? You're the fucking pathetic moron that believes this shit. Why are you even here commenting???"
"155","You are living one sad worthless life puppetstr1ngs ."
"156","+Carter Wale You have family that lives close.....congratulations that means absolutely nothing. The only reason I got involved into this shit was to prove the ""conspiracy theorists"" wrong, it didn't take to long to figure out this was fake. Stop being a ignorant fuck and go look yourself buy you won't because you're nothing but a troll who doesn't even know what ignorance means, so just go back to being stupid as fuck"
"157","What like you? I have family that lives about a half hour away . It's no hoax . You're just a close minded dip shit."
"158","Watch the other videos of that family. I feel really bad for that girl......I know its one big fucking hoax but the thing that drives me crazy is the ""dead kids"" siblings. How do you keep them quiet for ever?? Someone real needs to talk to those kids."
"159","+suzier55 me too because you don't know what ignorant means. Go buy a dictionary you fucking moron."
"160","+puppetstr1ngs I love being proved right! "
"161","Did Huckabee just state that god is an asshole?"
"162","Maybe we should argue that these kinds of things have increased ever since the 1950s when they added god to our currency.  "
"163","+Sandra Crockett Thanks, Sandra, these people are trying to inflict a vile and hateful deity onto us by government force.  They are delusional and it was their ""gott""  in the ""gott mit uns"" that nazis emblazoned onto parts of their uniforms.  "
"164","Thanks Mark!  "
"165","Hey, no Christmas trees behind the firehouse in this video"
"166","First time in two years of video watching where the porta potties were where they are in this vido,nthey were they put there they were over by the check in sign"
"167","What time was this video taken? Behind the reporter there are porta-potties in front of the fire station that don't show up in any other photos or videos of that day???"
"168","Fake event!"
"169","6:30   :)"
"170","Personally, I do think they should make certain assault rifles illegal, however only the really good ones, such as the AR-15. I don't really care about the AK-47, as long as maybe if it's the civilian issued type, however the reason I have no interests in making the AK-47 illegal, is because AKs are inaccurate, while may be able to fire with mud in them, however parts in these things usually break, and thus with the AR-15 there are so many different useful accessories that go to this gun that it's not even funny. These guns can withstand more than the AK-47. Also because AKs can't shoot as far, because let's say a sniper has their gun pointed at you and you're being raided for firearms possession and the kidnapping of the mayor, you wouldn't be able to hit that sniper (well at least as not as well as you would with an AR), and contrary to what Joe Biden says, AR-15s are not hard to aim and hard to use, AK-47s might be though, depending on what you've got. 

AR-15s are more effective cop killing weapons than AK-47s. I know one story of a man who got out of his car during a traffic stop with an AK and fired 37 rounds at a police car with (I think) 2 officers inside, and the damn thing was so inaccurate that not a single bullet touched any of the officers. The gunman was shot dead by police. This was all caught on video. "
"171","San Antonio Texas! Mayan palace shooting. A female off duty cop prevented a shooting massacre with 4 bullets. And the perp survived to stand trial. look it up. "
"172","Looking for any doctors, authors, or researchers who know about mental illness for my podcast and can discuss mass shootings. Please contact me. "
"173","WOW the media just blamed Marilyn Manson for shooting that's fucking sad as hell he didn't even do nothing fuck the media. "
"174","Sandy Hook happened 9 days after this video was posted."
"175","America suck dick"
"176","we have enough gun control all we need is an idiot control"
"177","I live close too the school Colombiane there's allways a memorial"
"178","I am sorry for those of you who lost a beloved family member, or friend."
"179","ALL DONE BY WHITE PEOPLE AKA

W orst
H umans
I nhabiting
T he
E arth"
"180","WOW. I've watched a few dozen of WatchMojo's top 10 lists, and for the most part I enjoy watching them. But the fact that they'd even make this one is fucking *appalling*. I know they say ""our hearts go out to the victims"", etc etc. But seriously, the very act of ranking tragedies like these is abhorrently wrong.

The only saving grace that could come from this video being made is if they donated every dollar they make from it to any mental health charities or charities that benefit the victims of massacres like these."
"181","number 2 should have been number 1"
"182","thank god that bombing failed to bad for all the lifes lost at that high school."
"183","The Columbine shooting really bothered me the most because I was in high school at the time when it happened, and I was one of those outcasts that got picked on too much and so many people thought I was capable of committing the same crime."
"184","Shit like this only happens in America "
"185","iam sorry lady but MacDonald's nuggets don't turn people into homicidal maniacs  that's the most stupidest thing I ever heard   "
"186","Powerful last statement. MManson never stops surprising me. Very intelligent."
"187","STUPID PEOPLE WTF SANDY HOOK WAS BS OK DAM I LIVE IN CT IF WAS A HOAX SIMPLE AS THAT DONT FUCKING BELIEVE EVERYTHING U HEAR FUCK ITS LIKE A COURT ROOM NEEDA TO BE EVIDENCE OF A CRIME WHAT FUCKING EVIDENCE DID ANY1 SEE? YEA THAYS WHAT I THOUGHT NONE WAKE THE FUCK UP YOU RETARDS"
"188","Hey connor fewless stfu if u dont like guns move the fuck outa the country very easy sk just stfu ok "
"189","Wow at the angry idiots saying take guns away. Lets just hope that the day never comes when you are hoping that someone with a gun(officer) makes it to your house before the criminal who doesn't care about gun laws find you... Like seriously, what will you do? Say ""guns are illegal"" and hope he/she understand their wrong ways, leaves and turns in their guns? Good luck."
"190","With the increased amount of bombers out like there (like: McVeigh, Una, Boston bombers, and Columbine killers) I don't think banning guns would help fully in prevention, granted the gun violence will lower mostly.  Is it amusing that most don't seem to care about the killer's mental state or attitude enough to say anything."
"191","Sad stories. What about mass shooting at Native American civilians?"
"192","Guns don't kill people, people kill people... Mhmm but guns are fun, they keep you on the run... Aha"
"193","The virginia tech massacre should be first"
"194","First of all, why do they even make guns?"
"195","Holy shit Marilyn Manson actually said something smart lol"
"196","""The Joker"" what is he, 7?"
"197","What do you do? Take all the guns 1 by 1 from people. Need Self Defence? Take Classes, There will be a gun black market that sell for alot? How much do you want to bet they will NOT Use that gun on somebody so now, the police can take the gun away."
"198","Top 10 Mass Shootings???? Videos like this are the reason why these psychos kill people. Its because the media and society immortalises them. We shouldn't know a single mass shooters name."
"199","Marylin Manson (srry if I spelled them wrong) had nothing to do with this shoot out ugh"
"200","What all you morons realize is that it's not the guns that kill people, it's the people with guns that kill people.  Making guns illegal or harder to get just turns into more people wanting to get said guns, just like drugs.  Gun control is not the issue here people, get that through your thick minded skull."
"201","This is all of our faults  (individuals , society )   this is the product that our generation have created . We need to search deeper people. Lets  return to old christian values if we want to save these kids. Too many parent spending time acting like kids themselves."
"202","A good man with a gun = NO problem 
a bad  man with his hands can strangle someone or beat them to death.
  No accountability to  anyone   Godlessness.  How that working for us.  "
"203","Pythia video is stupid, you can't compare shootings! They are all terrible, each on the families who lost a family member or friend can tell you that it's the worst feeling stupid video "
"204","wtf my bday was in #7 in November 5"
"205","Wait Newtown school shooting happened on dec 14 2012 this vid was made on dec 5 2012 how do they know about it then 9 days before it happened I'm confused"
"206","My husband dylan ^~^
"
"207","i just love it how if the criminal was american they diagnose him as ""mentally unstable"" or "" brain tumor"" and give them names and such. but if the criminal was muslim they don't hesitate, they just make him a terrorist from al-qaeda. god bless america. -.-"
"208","White males are dangerous they should be tracked better."
"209","Shit"
"210","god bless the people that died. moment of silence please."
"211","I lost my dad in a shooting I'm very sad."
"212","It breaks my heart to see shootings like this happen too often in America. I am very interested in the gun control debate and watching this video gives me some good information. After about 9 months of research I believe that laws don't stop shootings nor do back round checks. A kid in Washington state recently went into his high school and shot i believe 5 people, one fatality but the gun was not his fathers, the gun he used was illegally purchased on the street. "
"213","And about a week after this video was published, The Sandy Hook Elementary School Shooting happened."
"214","this is why you should always carry a gun in america! (you didn't see that coming)"
"215","Now this is the reason why i think that all guns should be illegal."
"216","Yet white people always say how to fix the ""black community"" & saying ""niggers & spics can't behave & always selling drugs & killings each other"". Y dont u White people focus on issues within ur community such as public mass killings, abusing meth, suicide,& alcohol abuse."
"217","Why the hell is Marilyn Manson being blamed for Eric Harris and Dylan's actions?"
"218","I feel like Americans first had guns so they can protect themselves from Natives...
Not knowing Natives didn't enjoy their presence anyway, bring bad luck.

Now guns are everywhere and natives are left in the dust. insulting!
I believe we were capable to live without guns in USA, if Greed and power didn't rule"
"219","And they say blacks are more prone to violence,  GTFOH with BS! "
"220","0:52 ""I can count to potato."""
"221","Another idea would be to take some martial arts classes. That's a far more legitimate way for protection. It would also teach you to respect yourselves and others.
Of course that would require you to get off your fat asses and actually put in some effort. Lazy bastards think they can solve the issue of protection by dropping by the gun store on the way to mcdonalds. "
"222","Not all of us believe that"
"223","You're just mad that whites are superior to your race"
"224","You're an idiot if you really think that's true"
"225","Ummm..... maybe it's because this video is strictly based on U.S. shootings?"
"226","There are plenty of other bombings, shootings, and mass killers around the world.  There are specific issues in the U.S concerning the manner in which people with mental health problems are dealt with but the U.S by no means holds every single one of the mass killings ever committed.  Some mass shootings and bombings took many more lives in places other than the U.S."
"227","your husband was like that to begin with don't fucking blame it on MacDonald's food  "
"228","Hunting, self defense, military application, security, recreation, sporting ect.."
"229","Hunting"
"230","He's actually a very smart guy and a nice person I guess people judge him becuz of his looks. "
"231","Joker isn't real you idiot"
"232","The world isnt divided up into evil and non-evil people. Im just saying that alot of these murderers want to be remembered and we shouldn't let them be famous for killing."
"233","No such thing ever causes any non-evil person to do those things. It was just a matter of time until they killed someone."
"234","Shut up nobody likes you"
"235","+UnderGround Potato Not uploading any videos is no excuse. I've never done that either. Unlike, you though, I actually have the brains to pay attention. If you had any brains, you would have been able to tell it was changed afterwards. That the part written about Sandy Hook was after the video was made. ""This video was published a week before the event."" If you actually read the description, and had any fucking brains, you would have never posted that original comment"
"236","Well I'm sorry I don't upload videos so I didn't know that and also your probably more of a moron than me"
"237","They didn't know about it you moron. What gave you the asinine idea they did? It's not in the video. It's in the description which can be altered at any point after the video was made you moron"
"238","Poor Marilyn Manson it wasn't he's fault :/ fuck the media. "
"239","Shame this video was made just before Sandy Hook..."
"240","America sucks"
"241","Cant trust anyone. Ill just have a gun to protect myself from anyone"
"242","White people these days smfh"
"243","The media is very interested in showing every mass shooting, and every bad thing that can happen with a gun, yet rarely do they show the far more common occurrence of civilians with guns stopping criminals.
http://crimepreventionresearchcenter.org/"
"244","Huh, this video was released just 9 days before the Sandy Hook massacre. (Conspiracy theorists, fuck off.)"
"245","Manson says, that if nobody is listening to you the shoot up and murder as many innocent pupils at your school as possible."
"246","God forbid we look at the circumstances that lead people to consider such options"
"247","Hunting humans! *HAHAHAHAHAHAHAHAHAHHAHA MY HERO!* "
"248","""After killing his wife and mother"" okey then. "
"249","White people are the root of all evil! Is a fact! "
"250","If guns kill people then I guess cars drive drunk, pens make spelling mistakes, and spoons make us fat"
"251","Heartbreaking. But Don't be blaming the fuckin guns blame the idiot pulling the trigger "
"252","This video really shouldn't have been made"
"253","GOD THE USA IS AWESOME...
FREEEEEEEEEEEEDOOOOOOOOOOOOOMMMMMMMMMMMMMMMMMMMMMMMMMMMM.
with accountability."
"254","One Man
One Vote
Man"
"255","that about in 1800's when 800 native American was kill by U.S Soldiers when they where at school..Man, Woman and kids..
 "
"256","I will own a firearm until the day I die.  Governments have killed more people than anything in the world. FACT: Germanys Adolf Hitler 11million murdered, Russians Joseph Stalin 60million murdered, Chinas Mao Zedong 100 million murdered. The university of Hawaii did research on Democide. Google it DEMOCIDE anti-gunners, this is what they(The State) wants, people to not be able to defend themselves. "
"257","In 1890, the US Government shot and killed over 290 UNARMED Native Americans at their school, including over 200 women and children.

Remember that.."
"258","That Ft. Hood shooting is considered to be ""workplace violence"" by the cowardly and politically correct pentagon in the age of Obama."
"259","If there's anything we can blame for mass shootings, it's stuff like THIS VIDEO.  

Great job incentivizing more mass shootings, watchmojo!  Who can beat that guys top score?  I can't wait to see who can kill more than him.  "
"260",":("
"261","Another comment whining about Americans having guns."
"262","Watchmojo, please update your list of the top 10 infamous mass shootings in the US because the massacre at Sandy Hook Elementary School in Newtown, CT is missing from your list. "
"263","This was made only a week before Sandy Hook, that is creepy.
"
