"","real.all_comments.textOriginal"
"27","That nineteen year old should be 💀 dead he is sooo dead if I was the officer i am just gonna kill him"
"28","Why sell military type weapons to the public then you could stop more shootings like this one since they mainly use assault rifles in them"
"29","I’m 12 years old and my school did a shoot out drill with a fake shooter and when he came through the door I straight up talked him.



I found out it was a drill and he has a bloody nose :("
"30","Who cares"
"31","Dead body at 5:49"
"32","these are so scary😭"
"33","Gun control!!! Dont have guns here in sweden= we dont have a single school shooting. Face it guns are made for one thing. Im sorry for the kids and parents"
"34","This all makes me so sad and terrified when will we get change?!"
"35","Top safest community in America my ass."
"36","I pray that all those lost in this horrific accident may rest in peace for they are out of this terrible world..."
"37","It was very terrible 🤧"
"38",",???,?,,????????????"
"39","Omg this is impasible"
"40","Watashi no namae GENKI desu~~~~"
"41","17 only????

Americunts need more to learn"
"42","Me and my best friends have no classes together so ebery day im class it goes through my mind!And all i think about is attaking the shooter so no one qould get hurt if if it ment me getting hurt"
"43","Bro I'm in elementary school and it's Hella scary"
"44","I guess they don't have to dream about drinking liquor because they all took a *shOT* together 
Although some before others"
"45","Right after he said these images may be disturbing I paused the video so quickly"
"46","I live in Florida and I'm in 4th grade😥 and my bff is scars for school shooting its was  codes  it dept saying code red code red I was scars too😭😭😭"
"47","Found Some More Info   http://velociterium.com/8ZWD"
"48",""" today was the worst in humanity "" worst has happened and could not even compare to this pal"
"49","3:08 that right there was when they were really scared to death"
"50","Wtf is wrong with American education?"
"51","I don't understand that people should learn by now not to make fun of people cuz this could happen to them most recent school shootings happen is from bullying but yet no one mentions it"
"52","If people have a medical or heath problem why are we giving them guns?"
"53","Fuck the shooter"
"54","being a young student myself all of these shootings happening just scare me"
"55","I ain't racist but why is always white kids shooting up schools, so STUPID."
"56","lmao"
"57","Never felt that lucky to live in canada (gun should be ban) no one need an assault rifle at home"
"58","why didn't cops shoot him"
"59","*OH SHIT!*
THIS IS SO FUCKING MESSED UP!!!!!"
"60","Pumped up kicks 
Out run my bullet"
"61","Sorry for the people who died."
"62","They just don’t.. they don’t deserve it :( everyone deserves a chance to live a life.. I don’t know why you would try to kill people when you’ll get arrested afterwards.."
"63","murica"
"64","Tips for surviving a gun attack in school:
Master Ultra Instinct"
"65","As I was in this shooting, Lord help my friend Sarah."
"66","Isn't he a terrorist too?"
"67","So sad I hope this never happenens to me and I wish that people would not do this to others"
"68","All the other kids with the pumped up kicks"
"69","One time we were eating lunch I’m in 5th and we eat with 1st the cafetera has now infle then they have a code red then everybody starts panicking we could hear the bullets it was right next to our school"
"70","Did you get  to  arrested  shooter"
"71","Why is horrific in quotation marks? Are you serious?"
"72","R.I.p students who died 😪"
"73","why the hell is there quotes around horrific?"
"74","I thought all lives matter"
"75","2018 is gonna be a great yea- * Sees video *"
"76","Even if u ban the FUCKING guns, there are still knives and other shit u can use to kill people so what is the whole fucking point of banning"
"77","if i was there i would risk my life to save the kids like if agree"
"78","Scheiß auf sicherheit erstmal n snap abschicken, famegeile bastarde"
"79","Three Rivers had a shooting in aimed at the high school and middle school so they closed all schools
 Like if you live in Three Rivers"
"80","I was shocked when i saw this
I would be able to miss someone"
"81","https://www.youtube.com/watch?v=ZLj_DWgKij4
Marjory Stoneman Douglas High School Tribute Video"
"82","Fuck ugly disgusting bitches. Crying whores ( moms and students )."
"83","That exact day, I got a text from my friend, that said ""Talk to ya after school!""
Needless to say, I never got a text from her again, since this school schooting cancelled her plans.
I figured out what happened once I opened a message from her mother, saying she died..

Yeah, screw this Cruz guy"
"84","Damnit. Now I don't feel like going to school"
"85","1like=1prayer R.I.P 17 ones thst died"
"86","Those kids at 3:41 would have known the victims"
"87","how would you be surprised when a 5 year old could buy a gun on its own. let alone a 19year old.....christ"
"88","Kids... And parents just don't enroll your kids in a huge school... That way.. the said shooters won't come at your kid's school... Enroll them in a small one..  there would still be chances that a shooter would come and start shooting people.. but minimized..."
"89","So sad, but it just proves america you really are the stupidest country in the world. Keep your guns, keep making innocent people die all the time, then blame it on ""mental health"", its your country that is mental."
"90","I’m sad and scared. I’m still in school. We try to stop this, and show independence, yet the government does nothing."
"91","3:40 I knew that had to be a dead body. I bet you that was one of the kids closest friend. And plus the boy was almost practically throwing up."
"92","Lol"
"93","R.I.P to all the victims"
"94","I want to punch that shooter in the face so bad"
"95","Po"
"96","AAAALLLLLLL THE OTHER KIDS WITH THE PUMPED UP KICKS YOU BETTER RUN, BETTER RUN, OUTRUN MY GUN"
"97","You are reaping what you sow, America. There is something inherently wrong with our culture today that our men and boys are now snapping and shooting up people en masse. Of course, we take the easy route out: BAN GUNS. Never mind the issues at hand because men and boys do not matter."
"98","Is it bad I have a gun in case that happens?



I think it is.."
"99","Why they didnt try putting book in the bag as kevlar or try to make a molotove after they have a science lab or throw all chairs at him at once"
"100","Best try not to laugh challenge video ever. I started laughing when the first body dropped"
"101","heavy metal ok assualt rifle isn't a real term however it is often described as a full auto rifle. Not semi automatics"
"102","Clayton Vaughn automatic and semi auto rifle"
"103","heavy metal what is a assault rifle?"
"104","lucy armstrong he didnt resist"
"105","And sorry for my offensive comments mocking the people who died."
"106","UniDraGuine a 5 year cant buy a gun and being 18 to buy a gun is reasonable"
"107","yeh highest ""legal"" gun ownership...simpleton. Not many african american and latino gangs in Sweden is there? haha your so stupid. ""we banned drugs and many people have them"" ....yeh because Ice is so great when people have it, and meth? idiot.   ""we cant ban guns because it violates our rights"" but guns can be banned because like i said my country and many others have done so and there weren't any other mass murders again...how oblivious are you kid?  and let me guess your going to give me the whole ""its in our amendment blah blah blah, its called an amendment for a reason you know kid, every country has one, just because america makes big deals over the littlest things doesn't mean they're big deals :) 
im guessing your still in school? by the lack of intelligence you have thats my guess anyway, i hope the next one happens in your school :) see how great it is to ""have rights"" to own a gun"
"108","Hegg Official look at Sweden highest gun ownership but lowest murder rate. And we banned drugs and many people have them. And we cant ban gun because it violates our rights"
"109","hahah yes it will, thats the lamest excuse. Many countries have done this, and have stopped mass murders. 
Yes theirs going to be people with guns still, but your murder rate of your whole nation would drop enormously. If you dont see that, your an idiot. I wouldn't be surprised if you were though, a lot of americans are simple :)"
"110","Hegg Official banning guns wont get rid of guns"
"111","PungiFungi no they would still debate it was the guns"
"112","If women and girls made up the majority of the shooters I am sure there will be debates on what is wrong with our society that made them do it so they will be absolved of any responsibility."
"113","PungiFungi how is this a male problem"
"114","I need the best explonation why is this happening? I feel so lucky that in my country this never has happened, also i feel bad for those families who lost their children for no reason. Innocent harmless children never did anything to the shooter."
"115","I cried so hard ... I can only imagine if this happens to my school"
"116","Can he come to my school."
"117","They should have beat him do death on sceane"
"118","Atleast it wasn't elementary right?? 😢But seriously must have been SUPER terrifying and I hope people who survived still lived. And for those who didn't.... May they rest in peace 😢😢😢"
"119","Its the flipping shooter games! Even if you do play shooter games, the people that are acting like its real life are the people you have to worry about! Btw, if your ever in this type of situation and you have a nearby store or shop such as Wal-Mart, get there as fast as you can with a group of friends, you never know when you may run into a weirdo and need friends by your side!"
"120","All the families who lost loved ones will be in my prayers"
"121","Honestly..... Just... I can't..... I can't say how I feel... That kids.. Die and its just heartbreaking I can't .... Prayers for the parents that have lost there loved ones..."
"122","Swat member with shorts. Makes sense"
"123","This guy is stupid. I can't belevie he wants to end people lives. The people who got hurt or killed has no reason to be like that. Now People in heaven or in the hospital is now suffering from the injures from this kid who was 19. The moral of the shooting is to never end someone live even though u don't know them. Don't do anything stupid like this. This was a bad choice to make. This kid put his life in jeopardy now this kid in jail for killing beautiful,kind, caring children. So please don't put your life in danger or in jeopardy like him. Thank you."
"124","Who would win?
A building made to teach people 
Or 
One shooty boi"
"125","Don't know why am I crying...just feel so bad for poor lives who lost all their dreams ...RIP my dears"
"126","Honestly I dont really care whatever personal problems the shooter had. Surely those 17 lives were much more important and meaningful than his."
"127","People who do those things deserve to be tortured and die super slow"
"128","Bitches talk allllll the bullshit  till it's the final countdown"
"129","And wow it wa son Valentines day"
"130","More guns in America✊"
"131","where are the school bullies at this school..? u piss panting wimp !!!! not so tough aye i hope u fuckeeeerssss were the ones that got shoooottttttt!!!!!!!"
"132","Did anyone notice the swat guy at 5:16 was pointing the gun at a kid"
"133","Clapping and laughing non stop"
"134","When you mess up on Kahoot"
"135","Literally nothing has happened since, no actions have been taken, the simple answer is America, get rid of the guns, no guns, no school shootings"
"136","I am sorry thar i let u down i feel bad"
"137","Ok lets be honest this kid might be bullied by the pupils and he had to do it tbh if it was me I would fight but not kill but if it gets so serious and when you tell someone about it and they give no fuk that you are being abused by these pupils and bullied is just cruel beond levels its HEARTBREAKING  it may lead to this tbh it happened to me I got bullied so much in UK just because I was iraq teen ... and told my teacher she gave no fuk and said leave them alone and when she asked them why are you bullying me they said he is a lair and ofc the son of a nation believes another even tho she can see it  so I kept being bullied till one of them slapped and punched me ...  you know when you lose yourself to your soul you know its ganna go like hell so I left my soul and went to the guy and slammed his head into a piece of hard wood on a fence and then kept punching him in the back of his head and his neck so he is bleeding from his head   and then I grabbed him and pushed him on the wire fence Oh it felt good so he got knockedout his other friends that helped him bully me just stood there just like have seen a ghost then my tember came back and then walked back to class as i walked a teacher said to me why did you do it  and I looked at her and gave her the eye I looked deep in her eyes and said  Don't try to look that you don't know anything because you seen  it all so don't try it and went to class tgen next day I get detention for 2 hours and he gets nothing at that time I just wanted to murder him and his friends it seems like I look like a insane human but I am not because I didn't kill them I was thinking to tho because my ego was done everyone hated me for beating him up ...  then I left the town and went to another one i  got be friends  with the guy who I beat and who bullied me I still didn't like him but i don't hate him anymore .. yeah I doubt that you guys feel the same thing is this happened to you over and over ..."
"138","Lemoney Snibkiet—school should be a save place


Me—NOPE"
"139","Ive been called a school shooter cause I'm emo if there was a school shooting and I survived they would automatically call me the shooter most likely..."
"140","RIP TO ALL OF THE FALLEN LIKE THIS COMMENT HOPE THEY ARE IN THE PARADISE BUT THE SHOOTER IN THE DEEP HEAVEN 😫😫😫😫😫😭😭😭😭😨😭😭😨"
"141","let just gangbang on them"
"142","Sometimes Y'all Say The Shooter Is Wrong But Hey He Got A Bad Social Life And He Tryna Fixing It But Anyone Wont Support Him."
"143","I wonder why this never happens in Europe. Oh wait, people can't buy guns at Walmart."
"144","I hate American thay bombarded us 1999 but I can this is so emotional I'm so sad and when I see some monster like this guy I would like to let him die without food or water or I don't know just kill him"
"145","18 SCHOOL SHOOTINGS IN 2 MONTHS. That´s insane. How and why do people defend the right that anyone can own a firearm."
"146","fuck america"
"147","you american people do this to yourself"
"148","This is sad cause I always watch this I watch it beacuse my twin Brother actually got shot 😢 he got shot cause we where in the same class and BOOM BOOM BOOM my brother was like a shield protecting me to not get shot or hurt 😢😭😭 I always will love you Austin R.I.P"
"149","Rainbow Six Siege new DLC map?"
"150","Ofc hes white.... white kids think schools are shooting ranges"
"151","2:51 if u look on the right u can see someone's hands shaking like crazy 😭 poor baby"
"152","God bless the ones lost"
"153","Man ugly ass hell"
"154","omg that is so scary!! and 17! my class has 27 students ! so  half  oh my gosh im so shocked who will do that oh i know nik cruz!"
"155","Why do we do this to each other?These poor kids we shouldn’t be able to do this to these kids who just want an education!"
"156","I saw the police carrying out a girl in a classroom, has she been wounded?

The cries from the students in the classroom is heart breaking"
"157","RIP"
"158","Dude holy shit"
"159","Why."
"160","Looking at this video, and I'm sitting here like ''Wow, I could've became him.'' 

Lucky enough I had my gf, and my mom by my side to help through my issues in high school. Because without them, I could've became him."
"161","Fuckn monkey"
"162","If you get offended or weak hearted then don’t press read more. If you comment something like retarded or stupid we don’t want it. But all jokes aside RIP to all the people we lost.






When the autistic kid thinks the school shooting is a dance party"
"163","Rip 2018 we will remember you...."
"164","at my school, kids take their phones and it's really annoying because you could use the time you took to get your phone out to actually escape! i always say ""you're phone is replaceable... you are not."""
"165","My parents told me that it was a struggle to send me to school...now sadly, I know why.

💛My heart goes to these peopl💚"
"166","Why haven’t they killed him yet? If it was a black person they would’ve killed him in a heart beat."
"167","wtf. sounded like the police took the other students. hands in the air for the students that are scared?! comon man"
"168","I have a kid in my class who likes Jake paul"
"169","Fuck Nikolas Cruz"
"170","Rest In Peace"
"171","The kid who did this to these people looks like Frankenstein’s creators henchman"
"172","he got bullied so hard that he became the terminator"
"173","Yet he had no harm on him not even a scratch and if he was black or any other race he would have been shot in a minute. That just shows how messed up this society is ."
"174","People be shooting up schools like it's a trend lmao"
"175","This was on valentines day 2"
"176","This is the most saddest thing ever.. I couldn't believe how if I was there I would probably be crying forever and ever till it was over because this is so sad😢😢 I'm so glad he went to custody because I wonder why he would shoot up a lot of kids what did they do???"
"177","what the wrong with this country evry month there  is shooting"
"178","God I cannot believe this happened I feel bad for the ones who lost their friends and favorite teachers. Even the parents losing their children.  (R.I.P to the students and teachers that were killed)"
"179","Fucking hero, what a god"
"180","Trump’s America"
"181","When you get Enough of that bullying shit you willlose your mind"
"182","Donald Trump be like: We need more guns in America. Makes sense.



I nearly cried when I saw the footage though"
"183","bit.ly/2qocuBanGuns"
"184","Honestly the comments on this video are disgusting, people degrading a human life."
"185","What a moron"
"186","I hate how no one cares about y the shooter did it but if he commited suicide or some shit it wont matter its a oh ok suicide cool but as soon as people start fucking with this kid being assholes they wanna act all innocent when there in a shooting"
"187","Yeah this was awesome can't wait for the next school shooting"
"188","The ting goes skrrrahh, pap, pap, ka-ka-ka
Skidiki-pap-pap, and a pu-pu-pudrrrr-boom
Skya, du-du-ku-ku-dun-dun
Poom, poom, you dun know"
"189","Come at me with a gun at anytime in my life and I will break your neck and every fucking bone in your body"
"190","If anyone else is scared of getting shot at their school, reply to this comment and just say ‘me’, I just want to see how many there are because I know I’m terrified 😂"
"191","This made me so emotional..."
"192","Somebody stop him he is turning them into yamucha (dbz reference)"
"193","""Hey, how should we fix this?""
""Let's throw more guns at the problem, see if that makes it go away."""
"194","17 people out of over 3 thousand students in that giant school?"
"195",":("
"196","Imagine just standing there watching your friend on the floor with blood pouring out of them,what vial humans for think of that,poor innocent lives gone"
"197","I'm just sooo 😭😢😵😷😣😭 that those 17 kids got killed 🔫 fun#in boy he deserves being in jail for killing 17 kids 😔😔😔😔I'm soo sorry that high school that happened to you and Florida  school kids I'm 😔sorry if one of those were your friends👭👬👫 and died⚰stay safe Florida,school ,and kids"
"198","This is why Canada is better"
"199","What did these students do to the criminal. This is wrong."
"200","I DONT GET THIS IF THAT WAS A BLACK MALE U WOULD OF HAVE SHOT HIM.and if he WAS WHITE EVEN THO HE HAS A GUN U STILL WOULD NOT SHOOT HIM😡😡😭"
"201","No body cares about this fucking Florida shooting anymore. It was a big deal for a week, that’s it... What makes this Florida school so much more important than the other shootings? This world is cruel. Deal with it. Move on."
"202","Gun Control, the medias biggest hoax."
"203","Legendary Scar Destruction 😎"
"204","good memes"
"205","Deflate Them Kicks"
"206","LIAR"
"207","Florida already went to through a hurricane, now a school shooting?! #SaveFlorida"
"208","The way girls cry is so annoying! They see someone dead and freak out! It's natural, Jesus these people are sheltered!"
"209","1:28
is she alive ? The girl"
"210","The deputies are fucking cowards. How the fuck could they let that happen? They were right outside the school and they could've stopped him before he took other lives. The teens blood is on their hands as well as the FBI and Emma"
"211","if i got his gun next i would do is im not sorry and shoot cruz in the head"
"212","Uh-oh! It looks like somebody made a whoopsie!"
"213","i feel bad not only for victims and those killed but the shooter as well. The fact he was so mentally distraught and ill to do this when he could of received the help he needed but the reports were ignored and he will live the rest of his life knowing what he had done"
"214","Manga Girl YT video games arent the problem"
"215","GVLP lol"
"216","XRageX10 so ignorant people would use knife's chemical weapons like mustered gas etc."
"217","+Cheeki Breeki
So, how are the rape numbers in Sweden....? Guns couldn't prevent those though... right?"
"218","There has been ONE school massacre EVER in Sweden and it was some retarded kid with a broadsword, trenchcoat and a mask going after immigrants. Only 3 people died. We do have other problems in Sweden though, like muslims hijacking trucks and running people over."
"219","Cheeki Breeki when they banned guns.  Gun crimed spiked after that"
"220","+NotMorne 
Hey hey hey, easy now. We can talk, or you can attempt to insult me.
The key word there is ""almost"". The key point I brought up, is the *rise* of knife crimes. If you think taking legal guns away will stop people from getting guns, you probably aren't aware of how many already get them *illegally* . I'm not even really pro gun, I don't need a gun. I just don't think taking them will help and it is in fact denying people of their rights, to force them to give them up.
A crazy person can wield a knife just as easily as they could wield a gun and a knife can be obtained, if the gun cannot.
I happen to believe losing one person to murder, is just as bad as losing ten people.
Did you know civilian gun owners save the lives of 500,000 up to 3 million people each year in the U.S.? 
So, right there you have up to 3 million people who could be involved in deadly gun violence, if they decide to take everyone's gun's. Remember criminals don't need to get them legally."
"221","Brando there are almost no knife mass murderers because with a knife its a lot harder to kill you retarded gun fucker"
"222","school shootings have been happening since the 70’s"
"223","Religion is Cancer dont even try ro blame trump"
"224","A fucking disgrace to planet earth? The reason you think that is because you don't realize what happened in his life before this. He was a normal person, but he reached a point of insanity. Mentally deceased? Go fuck yourself, a lot of the problem was how he was treated."
"225","Sled hijacker did i ever call Nikolas Cruz a psychopath and how can you even to the slightest even care about a disgrace to planet earth. The kid was mentally deceased from the start."
"226","You 10 year old loser, think about Nikolas Cruz's state, He reached a point where he couldn't control himself, his mental health should've been looked at. Also, For your damn information being a psychopath doesn't mean you go around killing people, it's a real mental disorder that can cause abnormal, unsocial, and sometimes violent behavior. Learn to educate yourself before you say some stupid shit."
"227","Sled hijacker you are a psychopath."
"228","I feel bad for Nikolas Cruz, stop acting like he just woke up and decided to kill his former classmates, no in the state he was in it felt like the only option. So stop being so fucking cringy."
"229","TimeForRandomStuff your so biased"
"230","For the good kids"
"231","choco lady yes, she's ducking."
"232","If this person is SO into killing innocent children that just want to live, this person should just die a terrible death. If anyone tried to harm my class, I would grab a pair of scissors and snip his fingers off so he can’t shoot anyone. If I died trying to kill the shooter, I would be happy that I died trying to save my class and keeping them safe instead of being killed without doing something."
"233","This idiot,stupid, idiotic b is mess the heck up."
"234","these high schoolers deserve to live longer I would die for all of them to live Rest In Peace. ..."
"235","If anything ever happened to them I would've lost it and I might have ended up going after the shooter with nothing left to lose"
"236","If that happened at my school I would have been scared,not for myself but for my sister's well being"
"237","I've never seen anything more horrifying than this"
"238","you know bullying...
teasing.....
and even saying mean words can make this happen bc the ppl who start shooting are maybe hurt in side bc of what ppl say, but still i pray for all kids who had to go through this why cant we live in peace"
"239","Oof"
"240","Could just ban the guns in America?"
"241","These kids can't even deal with a gunner!!! Seriously!! How disappointing"
"242","he did a good thing"
"243","#prayingforparkland"
"244","and show the love for the ones shot"
"245","I hope Cruz lives a terrible life where everything goes wrong"
"246","Who let this monster in this world"
"247","I can't believe someone would honestly do something so tragic .. Its so sad for me to see where the human race"
"248","JUST PLEASE DON'T BE TURNED INTO A STUPID INTERNET CHALLENGE THAT WILL KILL ALL OF US!"
"249","CUSTODY FOR HIM? CUSTODY! HE SHOULD HAVE A WAY WORSE SENTENCE THAN DEATH
LIKE IF YOU AGREE!"
"250","Man this is even more cool than that school shooter simulation."
"251","Not surprised , he was probably bullied severely so props to him for standing up for himself, that is if he killed bullies cuz fuck bullies , bullies can rot in hell"
"252","Poor people had to go through this traumatizing experience.

I just hope all the people that died were horrile horrible people like trump.



buy they probably wernt... :("
"253","I offered them more cameras how much more can anyone do"
"254","It's sad to see you're not safe anywhere anymore first Las Vegas then this and now YouTube HQ, this is what the world has come to it sucks you can't feel safe anywhere"
"255","Guys, remember one of the students (the bald-headed girl) openly admitted that kids, including her, ostracized him at school, yet they don't blame themselves for bullying him, of course they blame guns like all morons do."
"256","This must be hard for the parents...."
"257","Why?"
"258","Only 17 people dead? That was some shitty shooting"
"259","report this channel he is a click bait and also unsubscribe to this bitch and leave a dislike fuck ur channel dumb fucker"
"260","I was in that class I was like OH FUCKING SHIT NIGGA"
"261","well this happned in america what an suprise"
"262","I'm crying so hard right now"
"263","Maybe they should stop picking on kids fucking retards saying “Stop school shootings” but they can’t stop bullying the shooters."
"264","if i was the cop that arrested him i would strangle the shit outta him"
"265","God bless them"
"266","I heard BANG BANG BANG BANG"
"267","May god leave a blessing 👏❤️r.i.p"
"268","They should kill the school shooter slowly"
"269","Wow this is really sad I feel sorry for the people who died😭😭😭😭😭"
"270","Whoever disliked this video is evil"
"271","This is crazy,I hate violence,it needs to stop"
"272","Ha I Knew there were be a school shooting this year I will always trust my side of myself"
"273","Jamie Guttenberg’s body 3:09-3:39"
"274","The white kids shot it up🤔💀🔪💣"
"275","I think telling that they use smoke bombs is not safe to say out loud"
"276","i remember when i was in amsterdam this came on the news i thought this is fucked up"
"277","my cousin went to that school thank god she's ok"
"278","S sorry for What happend :("
"279","Ban guns = Civil War"
"280","Run
Hide
Fight we should learn how to fight with the gunner"
"281","Why do people do this what did the sudents and staff of the school do to deserve this?"
"282","UAV ready for deployment"
"283","He killed the innocents students 😭😣😢 i'm so shock , why other bad people do this kind of crime , they don't think what will happen if they do this"
"284","So sad to hear this news 😭 i'm so shock"
"285","Eat SHIT 😂😂😂😂👏👏👏👍👍👍"
"286","soros backed proper gander campaign."
"287","I know there are kids at my school that want to shoot it up and if there ever is ima just walk out of the biulding"
"288","😭😭😭😭😭😭😭😭😭😭😭"
"289","I know who went to the school and died her name is Jamie"
"290","This people is why you bielive in god if I where in that situation I would have got up took out my pistol out of my bag and fight because god knows if it’s my time to go and if it’s not my time god will protect me and help me"
"291","😢"
"292","Rest In Peace for all the people who been hurt😢😢"
"293","Why is horrific in quotes?"
"294","Too bad the media does not cover, rhe failure of the F.B.I. the local sheriff's, and the on-site resource officer...."
"295","This scares me to go to school now"
"296","locked behind door they had to break into..... everyone on the floor then hands up....nice conditioning..... lol."
"297","It is not the people that did the shootings fault. They blame it on the guns  right    we need gun control. That is the problem. We need more fun control. Ban all automatic guns  that will solve the problem. Well no it won't.  It's not the problem. It's the bullet the did it. Not the shooter  not the guns   It's the bullets fault  Ban all bullets  then you won't have the killings to worry about. Right"
"298","OMG THATS THE WORST SHOOTING IN A FEW YEARS"
"299","Jamie died. She was left
In a chageity."
"300","Why do.you blure who boom  pupils i can find it and call police"
"301","the kid who done it should be killed😓"
"302","Murikaaaaa FUCK YAAAAA!"
"303","Rest In Peace, Jaime."
"304","Majku vam jebem"
"305","Jebem vam djecu vasu smrdljivu"
"306","Mrs sto vas vise nije ubio"
"307","Who else came here from watching the Ariana Grande concert"
"308","Did they go to Jail"
"309","Am so scared now"
"310","Are they ok"
"311","I really wish the world had peace now there have been school shootings,murders,rape and others     horrible disasters"
"312","America. ""Everyone should be able to buy a gun"". Safety! Then this. But nothing changes. Good job, you fucked country."
"313","Australia had a shooting. We enforced our gun laws and limmited the places you can buy guns. We have had one shooting since. Its so easy."
"314","FUCK SAKE WHAT A FUCKED UP PERSON TO SHOOT YOUNG KIDS FUCK HIM STUPID BITCH"
"315","He shot with a AR in fortnite"
"316","This need to stop rip"
"317","Why would the law keep the shooter alive?"
"318","It’s not a fucking assault rifle get you facts right it’s a semiautomatic you stupid Democrats"
"319","I'd hate to go to that school with all those crying ads bitches"
"320","I feel so bad I would give my life for them to live 😥😥😥😰"
"321","I remember the D.C protests a week or two about these!"
"322","Woooww im really scared idk why,my hands was shaking while watching this video😭"
"323","This is just so so devastating. What happened to humanity? People like this just dont deserve to be on this earth."
"324","Easy solution: Stop the bullying/cyber bullying. Because that’s what causing it!"
"325","I couldn’t imagine this happening to me and my friends even if I didn’t like them I would still cry and I probably wouldn’t go back to that school ever it’s just pure evil"
"326","Don’t know how God can forgive this 😭"
"327","""At least 17 killed 15 injured"" we're u happy about that?? The word ""At least ""means it happened when we weren't expecting it."
"328","I think this 19 year old needs to enter death row,Like if you agree."
"329","Is the shooter in Death Row?"
"330","So sad pray for them"
"331","AND WHAT IS DONALD TRUMP JUST DOING?!?!

Trump: ""Just give the teachers weapons than EVERYTHING will be okay""

Me: ""Donald Duck is a much better president than you"""
"332","EP1C MUS1C I’m Irish, there’s never been a school shooting but the crime between two families in Dublin City is horrendous. Gun violence on the streets of town especially. 
It’s upsetting how the younger generations are discriminated based on their age and not intelligence. When we’re going to be the ones pushing the older generations in their wheelchairs🤷🏻‍♀️!"
"333","Katie x fuck knows, I don't think there will ever BE a gun law in America. I live in the United Kingdom and there's been several incidences related to gun violence in London. Why haven't they done anything yet? I mean fair enough that there is already a gun ban in the UK but that still hasn't stopped shooting related deaths in London. Something needs to be done about it because there's been over 50 people killed by guns in London this year. And around 180 people in America!"
"334","EP1C MUS1C I know right! It’s sad how they treat the younger generation with such lack of respect. How many more kids have to die before something is done?"
"335","Katie x it's getting beyond ridiculous, they recently decided to not send the shooter to prison but instead they sent to a mental hospital?? Fuck me. And not only that President trump has blamed it on his mental state, like wtf is up with that dude?!?!"
"336","EP1C MUS1C Oh god no. The precious hunters and Trump lickers would never have that🙉🙄...."
"337","Robert Phillips are you seriously trying to imply that bullying and shooting up a school are on the same magnitude of bad? The guy was just fucked in the head, he wasn’t bullied. I know alot more about this situation than you, so stop trying to act like your educated on what happened"
"338","LJ no excuses for bullying yet it still happens which results to this"
"339","Christian Torres no excuse to shoot up a school"
"340","Dr pie no that's where you're wrong. His backstory was really sad"
"341","weeb cunt that’s where your wrong"
"342","Flaming Beast “so?” Yeah even if he was bullied it gave him no excuse to gun down kids five years younger than him that never even knew his name Einstein 🙄"
"343","He could just fight the bullies instead"
"344","so?"
"345","Flaming Beast Yet he murdered kids he didn’t even know?"
"346","The Awesome Catz Hiiiiii"
"347","Ellenita Jumao-as It’s ABC News clever clogs."
"348","Preston Garvey omg Preston Garvey, the settlement at the high school in parkland, Fl needs your help, I'll mark it on your map"
"349","Preston Garvey ahahaha lol"
"350","that one guy  8 more and he could of gotten a tactical nuke"
"351","that one guy *oof all over my bonkers daddy*"
"352","Gun not fun sorry"
