"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"stead",0,0,1,0,0,1,0
"steak",0,0,1,0,0,0,0
"steinhauser",0,0,1,0,0,0,0
"stemming",0,0,1,0,0,0,0
"stepping",0,0,1,0,0,0,0
"steps",0,0,4,1,0,5,3
"stereotype",0,0,2,0,1,2,0
"stereotyped",0,0,1,0,0,0,0
"stereotypes",0,0,3,1,1,0,0
"stereotypical",0,0,3,1,0,0,1
"steroidscocaine",0,0,1,0,0,0,0
"sth",0,0,1,0,0,0,0
"sticking",0,0,1,0,0,0,3
"stills",0,0,1,0,0,0,0
"stimuli",0,0,1,0,0,0,0
"stir",0,0,1,0,0,0,0
"stock",0,0,2,0,1,0,0
"stockpile",0,0,1,0,1,0,0
"stolen",0,0,1,1,1,1,1
"stoner",0,0,1,0,0,0,0
"stones",0,0,1,0,1,3,0
"stoping",0,0,1,0,0,0,1
"stoppednhehe",0,0,1,0,0,0,0
"storeâ",0,0,1,0,0,0,0
"storiesnni",0,0,1,0,0,0,0
"storyswell",0,0,1,0,0,0,0
"strait",0,0,2,0,0,1,0
"strangulation",0,0,1,0,0,0,0
"strapped",0,0,1,0,0,2,4
"strategy",0,0,1,0,1,5,7
"strawman",0,0,1,0,0,0,0
"streaming",0,0,1,0,0,0,0
"streetswithout",0,0,1,0,0,0,0
"strength",0,0,3,0,0,3,3
"strengthen",0,0,1,0,0,0,0
"stretch",0,0,1,0,0,0,0
"stricct",0,0,1,0,0,0,0
"stricker",0,0,1,0,0,0,0
"stringent",0,0,1,0,0,0,0
"stripped",0,0,1,0,0,0,0
"strips",0,0,1,0,0,1,0
"struck",0,0,1,2,1,1,0
"structure",0,0,1,0,0,0,0
"struggled",0,0,1,0,0,0,0
"stubborn",0,0,3,0,1,0,1
"studentsteachers",0,0,1,0,0,1,0
"studied",0,0,1,0,0,1,2
"studiesya",0,0,1,0,0,0,0
"stuffed",0,0,1,0,0,0,0
"stuffour",0,0,1,0,0,0,0
"stumble",0,0,1,0,0,0,0
"stumbling",0,0,1,1,0,0,0
"stun",0,0,2,1,1,2,2
"stunned",0,0,1,0,0,2,0
"stupidnnyou",0,0,1,0,0,0,0
"subbed",0,0,1,0,0,0,2
"subjectives",0,0,1,0,0,0,0
"subjectnpeace",0,0,1,0,0,0,0
"subliminal",0,0,1,0,0,0,0
"submachine",0,0,2,1,0,2,2
"submachineguns",0,0,1,0,0,0,0
"submarines",0,0,1,0,0,0,0
"subscribe",0,0,1,1,0,3,4
"subscription",0,0,1,0,0,0,0
"substances",0,0,1,0,2,0,0
"substantial",0,0,1,0,0,0,0
"substantially",0,0,3,1,0,0,0
"subtle",0,0,1,0,0,0,0
"subway",0,0,1,0,0,0,0
"succeeds",0,0,1,0,0,0,0
"successful",0,0,5,5,3,1,4
"successfully",0,0,1,3,0,3,1
"succsesful",0,0,1,0,0,0,0
"sucide",0,0,1,0,0,0,0
"suckage",0,0,1,0,0,0,0
"suckers",0,0,1,0,0,0,1
"suckertnsecondlynwhy",0,0,1,0,0,0,0
"sucking",0,0,2,0,1,0,2
"sucsess",0,0,1,0,0,0,0
"sudden",0,0,5,1,3,4,12
"sued",0,0,3,3,2,3,1
"sues",0,0,3,0,1,0,0
"sufferers",0,0,1,0,0,0,0
"suffers",0,0,2,0,0,0,1
"suffice",0,0,1,0,1,0,1
"sufficient",0,0,1,0,0,0,0
"suffrage",0,0,1,0,0,0,0
"suggested",0,0,1,0,2,0,1
"suggestion",0,0,1,0,1,3,3
"suggestions",0,0,1,0,0,0,1
"suicides",0,0,1,3,1,2,2
"suicidues",0,0,1,0,0,0,0
"suitable",0,0,3,0,0,0,0
"suites",0,0,1,0,0,0,0
"suiting",0,0,1,0,0,0,0
"sulfur",0,0,1,0,0,0,0
"summed",0,0,2,1,0,1,0
"summer",0,0,5,3,0,1,4
"summercamp",0,0,1,0,0,0,0
"sums",0,0,4,0,0,0,0
"sundmanâ",0,0,1,0,0,0,0
"sunk",0,0,2,0,0,0,0
"sunset",0,0,1,0,0,0,0
"superheros",0,0,1,0,0,0,0
"superiority",0,0,2,1,1,0,0
"superman",0,0,1,0,0,2,0
"supermarket",0,0,1,0,1,0,1
"supermarkets",0,0,1,0,0,0,0
"superpower",0,0,1,1,0,0,0
"superpowers",0,0,1,0,0,0,0
"superstition",0,0,1,0,0,0,0
"supplied",0,0,1,0,0,0,0
"suppliers",0,0,1,0,0,0,0
"supplies",0,0,2,1,0,2,2
"supply",0,0,3,0,1,4,1
"supplying",0,0,2,1,0,1,0
"supporters",0,0,1,0,1,0,0
"supports",0,0,5,0,0,1,2
"suprised",0,0,1,0,0,1,0
"suremmgotbad",0,0,1,0,0,0,0
"surenputting",0,0,1,0,0,0,0
"surfers",0,0,1,0,0,0,0
"surmise",0,0,1,0,0,0,0
"surpassed",0,0,1,0,0,0,0
"surprise",0,0,10,3,4,6,14
"surprising",0,0,2,1,1,0,3
"surprize",0,0,1,0,0,0,0
"surrond",0,0,1,0,0,0,0
"surround",0,0,1,0,0,1,1
"surrounded",0,0,1,1,2,2,1
"surveillance",0,0,1,0,1,0,2
"survey",0,0,2,0,0,1,0
"surveys",0,0,1,0,0,0,0
"survival",0,0,1,1,0,7,7
"survives",0,0,1,0,0,1,0
"survivor",0,0,2,1,0,1,3
"suspense",0,0,1,0,0,1,1
"suspicious",0,0,2,1,2,3,4
"sustain",0,0,1,0,0,0,0
"swallow",0,0,1,0,1,0,1
"swastika",0,0,2,0,0,0,0
"swearing",0,0,2,0,0,0,1
"swears",0,0,1,0,0,0,1
"swedennmany",0,0,1,0,0,0,0
"swedsman",0,0,1,0,0,0,0
"sweep",0,0,1,0,0,1,0
"sweetheart",0,0,1,0,1,0,0
"sweetie",0,0,1,0,0,1,1
"swiss",0,0,6,0,0,3,0
"switch",0,0,1,1,0,2,0
"switches",0,0,1,0,0,0,0
"switerland",0,0,1,0,0,0,0
"swith",0,0,1,0,0,0,0
"sword",0,0,1,0,1,0,2
"swore",0,0,1,0,0,0,0
"sworn",0,0,1,1,0,0,1
"sydeny",0,0,1,0,0,0,0
"sydney",0,0,2,0,1,1,1
"sydneys",0,0,1,0,0,0,0
"sympathizers",0,0,1,0,0,0,0
"symptom",0,0,1,0,0,0,1
"symptomatic",0,0,1,0,0,0,0
"symptoms",0,0,2,2,0,0,0
"syndicate",0,0,1,1,0,0,0
"syndrome",0,0,1,0,2,1,0
"syrupdrinking",0,0,1,0,0,0,0
"systematicly",0,0,1,0,0,0,0
"sâ",0,0,1,0,2,1,0
"tackle",0,0,1,1,3,31,30
"tacky",0,0,2,0,0,0,0
"tad",0,0,2,1,0,0,0
"tag",0,0,1,0,0,0,1
"tahts",0,0,1,0,0,0,0
"takers",0,0,1,0,0,0,0
"talkin",0,0,1,0,0,0,0
"talor",0,0,1,0,0,0,0
"tangent",0,0,1,0,0,0,0
"tank",0,0,1,0,0,0,1
"tantrum",0,0,1,0,0,0,0
"tape",0,0,1,0,2,5,3
"tapes",0,0,2,2,0,1,1
"tapping",0,0,1,0,1,0,0
"target",0,0,10,2,10,25,22
"targeted",0,0,3,2,1,2,1
"tas",0,0,1,0,0,0,0
"taser",0,0,2,0,3,2,4
"tasmania",0,0,2,2,0,0,0
"taste",0,0,6,3,0,1,2
"tastes",0,0,1,0,0,2,0
"tat",0,0,1,0,0,0,1
"taunt",0,0,1,0,0,1,0
"taunting",0,0,1,0,0,0,0
"tauntinguh",0,0,1,0,0,0,0
"taxing",0,0,1,0,0,0,0
"taxpayers",0,0,2,0,0,0,0
"taylor",0,0,1,0,0,2,1
"teaches",0,0,1,0,0,9,12
"teams",0,0,1,1,0,1,3
"teamsetc",0,0,1,0,0,0,0
"teamspeak",0,0,1,0,0,0,0
"tearsâ",0,0,1,0,0,0,0
"tec",0,0,3,0,0,3,2
"techanically",0,0,1,0,0,0,0
"technical",0,0,1,0,0,0,0
"technically",0,0,5,3,2,0,0
"ted",0,0,1,0,0,0,3
"tedious",0,0,1,0,0,1,0
"teenager",0,0,3,0,0,2,1
"teleport",0,0,2,0,0,1,0
"tem",0,0,1,0,0,0,0
"temple",0,0,3,0,1,0,0
"temporary",0,0,1,1,0,0,2
"tempt",0,0,1,0,0,0,0
"tempted",0,0,1,0,0,1,0
"tenable",0,0,1,0,0,0,0
"tenass",0,0,1,0,0,0,0
"tended",0,0,1,0,0,0,0
"tendencies",0,0,1,1,4,1,1
"tens",0,0,3,0,0,1,0
"tense",0,0,1,0,0,0,3
"tenyeah",0,0,1,0,0,0,0
"teres",0,0,1,0,0,0,0
"terrifies",0,0,2,0,1,0,0
"terrorism",0,0,2,1,1,6,6
"testicles",0,0,1,0,0,0,0
"testified",0,0,1,0,0,0,0
"testing",0,0,1,0,0,4,1
"testosterone",0,0,2,0,0,0,0
"tests",0,0,1,4,0,1,0
"texashmmmmm",0,0,1,0,0,0,0
"textbook",0,0,1,0,0,5,4
"tge",0,0,1,0,0,0,0
"tha",0,0,2,0,0,1,1
"tham",0,0,1,0,0,0,0
"thane",0,0,1,0,0,0,0
"thankful",0,0,1,0,0,2,3
"thankfully",0,0,1,1,3,0,8
"thanksn",0,0,2,0,0,0,0
"thankyou",0,0,3,0,0,2,0
"thankyoun",0,0,1,0,0,0,0
"thatâ",0,0,3,4,0,0,0
"theatrewouldnt",0,0,1,0,0,0,0
"thee",0,0,1,0,0,0,0
"theft",0,0,9,0,0,3,0
"thefts",0,0,1,0,0,0,0
"thelate",0,0,1,0,0,0,0
"thelightinthedark",0,0,1,0,0,0,0
"theme",0,0,1,2,2,1,1
"themrskelingtonâ",0,0,1,0,0,0,0
"themself",0,0,2,1,1,1,0
"themselves",0,0,1,0,0,0,0
"theocracy",0,0,1,0,0,0,0
"theories",0,0,4,1,1,1,1
"ther",0,0,2,0,1,1,2
"therater",0,0,1,0,0,0,0
"thered",0,0,1,0,0,0,0
"therefor",0,0,1,0,0,0,0
"therew",0,0,1,0,0,0,0
"thereâ",0,0,2,0,1,0,0
"theses",0,0,1,0,1,2,2
"theseâ",0,0,1,0,0,0,0
"theseï»¿",0,0,1,0,0,0,0
"theyd",0,0,1,1,0,1,3
"theâ",0,0,3,8,1,2,0
"thge",0,0,1,0,0,0,0
"thi",0,0,1,0,0,1,1
"thick",0,0,2,1,0,4,3
"thickshit",0,0,1,0,0,0,0
"thief",0,0,1,0,1,1,2
"thier",0,0,7,1,0,1,6
"thies",0,0,1,0,0,0,0
"thieves",0,0,1,0,0,0,0
"thiink",0,0,1,0,0,0,0
"thingn",0,0,1,1,0,0,0
"thingnnow",0,0,1,0,0,0,0
"thingnwell",0,0,1,0,0,0,0
"thingsnamericans",0,0,1,0,0,0,0
"thingâ",0,0,1,2,0,0,1
"thinner",0,0,1,0,0,0,0
"thir",0,0,1,0,0,0,0
"thirst",0,0,1,1,1,0,0
"thisi",0,0,1,0,0,0,0
"thogh",0,0,1,0,0,0,0
"thorough",0,0,2,0,2,0,0
"thoughnyou",0,0,1,0,0,0,0
"thoughout",0,0,3,0,0,0,0
"thoughtful",0,0,1,1,0,0,0
"thouse",0,0,1,0,0,0,0
"thre",0,0,1,0,0,0,0
"threaten",0,0,2,1,5,3,3
"threatning",0,0,1,0,0,0,0
"threw",0,0,3,1,6,21,36
"thrower",0,0,1,0,0,0,0
"thrown",0,0,3,1,2,8,6
"thrust",0,0,1,0,0,0,0
"thugs",0,0,7,0,0,1,0
"thursday",0,0,1,0,0,1,2
"thyself",0,0,1,0,0,0,0
"ticking",0,0,1,0,0,1,0
"tiger",0,0,1,0,0,0,1
"tight",0,0,3,0,1,4,1
"tightened",0,0,1,0,1,1,1
"tightening",0,0,1,0,1,0,0
"tighter",0,0,3,1,1,2,1
"tightning",0,0,1,0,0,0,0
"tightns",0,0,1,0,0,0,0
"tiime",0,0,1,0,0,0,0
"timber",0,0,1,0,0,0,0
"timebut",0,0,1,0,0,0,0
"timeim",0,0,1,0,0,0,0
"timeless",0,0,5,0,0,0,0
"timenhowever",0,0,1,0,0,0,0
"timespecific",0,0,1,0,0,0,0
"timeâ",0,0,1,3,0,0,0
"timing",0,0,4,0,1,0,0
"tiniest",0,0,1,0,0,0,0
"tink",0,0,1,0,0,0,0
"tinyccgw",0,0,1,0,0,0,0
"tire",0,0,2,0,1,0,0
"tis",0,0,1,1,0,0,0
"tissues",0,0,1,0,0,0,0
"tittle",0,0,1,0,0,0,0
"tjm",0,0,1,0,1,0,0
"tjmâ",0,0,2,0,0,0,0
"tnx",0,0,2,0,0,0,0
"tnyou",0,0,1,0,0,0,0
"todd",0,0,1,0,0,1,0
"toddlers",0,0,1,0,0,0,0
"todds",0,0,1,0,0,0,0
"todoing",0,0,1,0,0,0,0
"toe",0,0,1,0,0,1,0
"toll",0,0,6,2,1,1,1
"tolls",0,0,2,1,0,0,0
"ton",0,0,3,4,0,5,7
"tone",0,0,2,1,0,2,4
"tones",0,0,1,0,0,0,0
"tonkin",0,0,1,0,0,0,0
"toole",0,0,1,0,0,0,0
"tooo",0,0,1,1,0,0,0
"topics",0,0,1,1,1,0,0
"topicthe",0,0,1,0,0,0,0
"tops",0,0,1,3,3,1,0
"topten",0,0,2,0,0,0,0
"tora",0,0,1,0,0,0,0
"torment",0,0,1,0,0,0,0
"tormented",0,0,2,0,0,0,0
"torn",0,0,1,1,0,0,0
"toronto",0,0,1,0,0,1,0
"toruble",0,0,1,0,0,0,0
"total",0,0,17,4,6,4,4
"totalitarian",0,0,1,0,0,0,0
"totaly",0,0,1,0,0,0,0
"toting",0,0,1,1,0,0,0
"tou",0,0,1,0,0,1,0
"touche",0,0,2,0,0,0,0
"touched",0,0,2,1,0,1,0
"touchy",0,0,2,0,0,0,0
"toughness",0,0,1,0,0,0,0
"tour",0,0,1,1,0,0,0
"tous",0,0,1,0,0,0,0
"tout",0,0,1,0,0,0,0
"tow",0,0,1,0,0,0,0
"tower",0,0,6,3,1,0,4
"towers",0,0,3,1,1,2,1
"townnn",0,0,1,0,0,0,0
"toys",0,0,4,8,0,4,3
"tpical",0,0,1,0,0,0,0
"track",0,0,3,1,0,0,3
"trade",0,0,3,4,2,2,1
"tradegys",0,0,1,0,0,0,0
"trades",0,0,1,0,0,0,0
"tradgediesnn",0,0,1,0,0,0,0
"tradgedy",0,0,1,0,0,0,0
"tradgite",0,0,1,0,0,0,0
"tradition",0,0,2,0,0,2,1
"traditional",0,0,1,0,0,0,0
"traffic",0,0,3,1,0,0,0
"trafficking",0,0,2,4,2,2,0
"tragedic",0,0,1,0,0,0,0
"tragedys",0,0,4,0,1,1,0
"tragidy",0,0,1,0,0,0,0
"trailer",0,0,1,0,1,0,2
"traing",0,0,1,0,0,0,0
"transgressor",0,0,1,0,0,0,0
"translate",0,0,1,0,0,0,0
"transport",0,0,1,1,0,0,0
"transportation",0,0,1,0,0,0,0
"trapped",0,0,4,3,0,2,4
"travels",0,0,1,0,0,0,1
"travesties",0,0,1,0,0,0,0
"tread",0,0,1,0,0,1,0
"treading",0,0,1,1,0,0,0
"tree",0,0,1,0,1,1,2
"trees",0,0,1,2,0,3,3
"trent",0,0,1,0,0,0,0
"trev",0,0,2,0,0,0,0
"trials",0,0,1,0,1,0,0
"trialsnthats",0,0,1,0,0,0,0
"tribes",0,0,1,0,0,0,0
"trice",0,0,1,0,0,0,0
"tricky",0,0,1,0,0,0,0
"trillions",0,0,1,0,1,0,0
"trip",0,0,4,1,0,1,5
"triple",0,0,2,0,0,2,1
"tripled",0,0,1,0,0,0,0
"trippy",0,0,1,0,0,0,0
"trips",0,0,4,0,0,0,0
"trogh",0,0,1,0,0,0,0
"trolley",0,0,1,0,0,0,0
"trollin",0,0,1,0,0,0,0
"trolln",0,0,2,0,0,0,0
"trolls",0,0,1,0,1,0,0
"troubles",0,0,2,1,0,0,0
"troubleyeah",0,0,1,0,0,0,0
"troy",0,0,1,0,0,0,0
"tru",0,0,1,0,0,2,0
"truckload",0,0,1,0,0,0,0
"truer",0,0,1,0,0,0,0
"trule",0,0,2,0,0,0,0
"trunk",0,0,1,2,1,0,0
"trunks",0,0,1,0,0,0,0
"truthfully",0,0,1,0,0,0,0
"truthnamericans",0,0,1,0,0,0,0
"tryhard",0,0,1,0,0,0,0
"tryingâ",0,0,1,0,0,0,0
"trys",0,0,1,1,0,1,1
"tthat",0,0,1,0,0,0,0
"tue",0,0,1,0,0,0,0
"tumers",0,0,1,0,0,0,0
"tumor",0,0,3,4,1,0,0
"tumour",0,0,1,2,0,0,0
"tune",0,0,1,1,0,0,0
"turkey",0,0,1,0,0,2,0
"turtle",0,0,1,0,0,2,1
"turtles",0,0,2,0,0,1,0
"tuscon",0,0,3,0,0,0,1
"tutore",0,0,1,0,0,0,0
"tutoring",0,0,1,0,0,0,0
"twelve",0,0,2,0,0,2,0
"twins",0,0,3,0,0,0,0
"twise",0,0,1,0,0,0,0
"tyler",0,0,1,0,1,3,1
"typebitchnfirst",0,0,1,0,0,0,0
"typically",0,0,1,0,0,0,2
"tyrannical",0,0,6,6,0,2,2
"tyranny",0,0,10,8,0,3,0
"tyrant",0,0,2,0,0,0,0
"tyrants",0,0,1,1,0,1,0
"ubc",0,0,1,0,0,0,0
"uhnnanybody",0,0,1,0,0,0,0
"uhuse",0,0,1,0,0,0,0
"ukfrancegermanyitaly",0,0,1,0,0,0,0
"ukgermanyfrance",0,0,1,0,0,0,0
"ukni",0,0,1,0,0,0,0
"uks",0,0,7,1,0,1,0
"ummmm",0,0,1,0,0,0,3
"ummmmmy",0,0,1,0,0,0,0
"umn",0,0,1,0,0,0,0
"unacceptable",0,0,1,2,0,0,1
"unaffected",0,0,1,0,0,0,0
"unbalanced",0,0,1,0,0,0,0
"unbearable",0,0,1,0,0,0,0
"unbelievably",0,0,1,0,0,0,1
"uncertain",0,0,1,0,0,0,0
"uncivil",0,0,1,0,0,0,0
"uncle",0,0,3,0,5,1,1
"unclear",0,0,3,0,0,1,1
"uncles",0,0,2,0,0,0,0
"uncommon",0,0,1,0,1,1,0
"unconstitutional",0,0,1,0,1,0,0
"uncorrupted",0,0,1,0,0,0,0
"underesteemating",0,0,1,0,0,0,0
"underestimate",0,0,1,0,0,0,1
"underestimated",0,0,1,0,0,0,0
"underlying",0,0,1,1,1,0,0
"underlyingdeepseated",0,0,1,0,0,0,0
"underrated",0,0,1,0,0,0,0
"understandable",0,0,2,0,0,0,1
"understandnif",0,0,1,0,0,0,0
"understandnnfor",0,0,1,0,0,0,0
"understood",0,0,5,1,1,7,5
"undifferentiated",0,0,1,0,0,0,0
"undo",0,0,2,0,0,1,0
"undoubtedly",0,0,2,0,0,0,0
"uneccesary",0,0,1,0,0,0,0
"uneducated",0,0,6,1,1,0,0
"unemployedn",0,0,1,0,0,0,0
"unemployment",0,0,1,0,0,0,0
"unethicaln",0,0,1,0,0,0,0
"unexpected",0,0,2,1,0,2,8
"unfiltered",0,0,1,0,0,0,0
"unfitting",0,0,3,0,0,0,0
"unfollowed",0,0,1,0,0,0,0
"unfounded",0,0,1,0,0,0,0
"unfunny",0,0,1,0,0,0,1
"unhappy",0,0,1,0,0,0,1
"unified",0,0,2,0,0,1,0
"uninvent",0,0,1,0,0,0,0
"unison",0,0,1,0,0,0,0
"unite",0,0,1,0,0,0,0
"universes",0,0,1,0,0,0,0
"universeâ",0,0,1,0,0,0,0
"universities",0,0,2,1,0,1,0
"universityni",0,0,1,0,0,0,0
"universitysschoolsmovie",0,0,2,0,0,0,0
"unjust",0,0,1,0,0,0,0
"unka",0,0,2,0,0,0,0
"unknown",0,0,2,0,2,2,3
"unlikely",0,0,1,0,2,2,0
"unneeded",0,0,2,0,0,0,0
"unpleasant",0,0,1,0,0,0,0
"unpredictable",0,0,3,0,0,0,0
"unprotected",0,0,2,1,1,1,0
"uns",0,0,1,1,0,0,0
"unsafe",0,0,3,2,1,2,4
"unsolved",0,0,1,0,0,0,0
"unsub",0,0,2,0,0,0,0
"unsupported",0,0,1,0,0,0,0
"unsure",0,0,1,0,0,0,0
"unsurprisingly",0,0,1,0,0,0,0
"until",0,0,6,0,1,1,3
"untill",0,0,1,0,0,2,2
"untrue",0,0,2,0,1,0,0
"upadcomnnse",0,0,1,0,0,0,0
"upbeat",0,0,1,0,0,0,1
"updatedn",0,0,1,0,0,0,0
"uphold",0,0,1,0,0,0,0
"upload",0,0,8,4,0,0,2
"uploaded",0,0,19,13,9,9,15
"uploadedn",0,0,1,0,0,0,0
"uploader",0,0,1,0,0,0,0
"uploading",0,0,2,1,0,0,0
"upper",0,0,1,1,0,3,1
"uproar",0,0,1,0,1,1,0
"upâuuimbecile",0,0,1,0,0,0,0
"urban",0,0,2,1,0,0,0
"ure",0,0,3,0,0,1,0
"usamerica",0,0,1,0,0,0,0
"usanntheir",0,0,1,0,0,0,0
"usaâ",0,0,1,0,0,0,0
"usbrilliant",0,0,1,0,0,0,0
"username",0,0,3,0,0,0,1
"users",0,0,1,0,0,0,0
"usersi",0,0,1,0,0,0,0
"uses",0,0,5,4,4,5,5
"usgovernment",0,0,1,0,0,0,0
"usn",0,0,2,0,0,0,0
"usnn",0,0,1,0,0,0,0
"usnnby",0,0,1,0,0,0,0
"usnnguy",0,0,1,0,0,0,0
"usnnot",0,0,1,0,0,0,0
"usnnus",0,0,1,0,0,0,0
"usplus",0,0,1,0,0,0,0
"ussr",0,0,2,0,0,2,0
"ussrukraine",0,0,1,0,0,0,0
"usu",0,0,1,0,0,0,0
"usâ",0,0,3,3,2,1,0
"utah",0,0,1,0,0,0,0
"utilitarian",0,0,2,1,0,0,0
"utility",0,0,1,0,0,0,0
"utilized",0,0,1,0,0,0,0
"utopia",0,0,3,0,4,0,0
"utter",0,0,1,0,1,1,0
"utterly",0,0,1,3,5,1,1
"utã¶ya",0,0,1,0,0,0,0
"uzismsmachine",0,0,1,0,0,0,0
"uäuläulläuläuläuläu",0,0,1,0,0,0,0
"vaguely",0,0,1,0,0,0,0
"validngun",0,0,1,0,0,0,0
"valued",0,0,1,0,1,0,0
"values",0,0,2,1,1,0,4
"vandalism",0,0,1,0,0,0,0
"vans",0,0,1,0,0,2,0
"vanstrom",0,0,1,0,0,0,0
"var",0,0,1,0,0,0,0
"varied",0,0,1,0,1,0,0
"varies",0,0,1,0,0,1,0
"various",0,0,2,2,3,1,0
"vary",0,0,3,0,0,0,1
"varying",0,0,1,0,1,0,0
"vastly",0,0,2,1,0,0,0
"vegeta",0,0,1,0,0,0,0
"vegetableâ",0,0,1,0,0,0,0
"vehicle",0,0,2,3,1,1,0
"vengance",0,0,1,0,0,0,0
"vengeance",0,0,3,1,0,0,0
"venom",0,0,1,0,0,0,0
"vent",0,0,2,0,0,0,5
"ventura",0,0,1,0,0,0,0
"ver",0,0,1,0,0,1,0
"verify",0,0,1,0,1,0,0
"vermoorden",0,0,1,0,0,0,0
"vessel",0,0,1,0,2,0,0
"veteran",0,0,3,0,0,1,2
"vets",0,0,1,0,0,1,0
"vicinity",0,0,1,0,0,0,0
"vicotin",0,0,1,0,0,0,0
"victimnn",0,0,1,0,0,0,0
"victimnâu¢",0,0,1,0,0,0,0
"victimsnits",0,0,1,0,0,0,0
"victimsnoh",0,0,1,0,0,0,0
"victoia",0,0,1,0,0,0,0
"victory",0,0,2,0,0,0,0
"victum",0,0,1,0,0,0,0
"videogame",0,0,1,0,0,0,0
"videogames",0,0,11,1,0,1,2
"videohome",0,0,1,0,0,0,0
"videoits",0,0,1,0,0,0,0
"videoman",0,0,1,0,0,0,0
"videonnthen",0,0,1,0,0,0,0
"videonnyou",0,0,1,0,0,0,0
"videonso",0,0,1,0,0,0,0
"videoâ",0,0,1,1,1,1,0
"vidoe",0,0,1,0,0,0,0
"vietnam",0,0,3,0,0,3,0
"vietnamiraqcentral",0,0,1,0,0,0,0
"viewer",0,0,1,0,0,0,0
"viewing",0,0,1,0,0,0,0
"vigilant",0,0,1,0,0,0,0
"villages",0,0,1,0,0,0,0
"villian",0,0,1,0,0,0,1
"viloence",0,0,1,0,0,0,0
"vindication",0,0,1,0,0,0,0
"vioent",0,0,1,0,0,0,0
"violance",0,0,1,0,0,1,0
"violencemaybe",0,0,1,0,0,0,0
"violencennalso",0,0,1,0,0,0,0
"violencennwatchvlklywypne",0,0,1,0,0,0,0
"violencenwith",0,0,1,0,0,0,0
"violense",0,0,1,0,0,0,0
"violents",0,0,1,0,0,0,0
"virgin",0,0,3,0,2,0,0
"virgina",0,0,2,1,1,1,0
"vision",0,0,1,0,0,1,1
"visions",0,0,1,0,0,1,0
"visits",0,0,1,0,0,0,0
"vitkovic",0,0,1,0,0,0,0
"vodka",0,0,1,0,0,2,1
"voicing",0,0,1,0,0,0,0
"voila",0,0,1,0,0,0,0
"volient",0,0,1,0,0,0,0
"volunteer",0,0,2,0,2,3,6
"votedâ",0,0,1,0,0,0,0
"voting",0,0,1,0,0,1,1
"vulgarizing",0,0,1,0,0,0,0
"vulnerable",0,0,1,1,1,5,1
"vãª",0,0,1,0,0,0,0
"waaaaaaaaaaaa",0,0,1,0,0,0,0
"waaaaaaay",0,0,1,0,0,0,0
"wack",0,0,1,0,0,2,2
"waco",0,0,2,6,0,1,1
"waconnthere",0,0,1,0,0,0,0
"wad",0,0,3,0,0,0,2
"waffenschein",0,0,1,0,0,0,0
"wage",0,0,2,0,0,0,0
"wagnor",0,0,1,0,0,0,0
"waitevery",0,0,1,0,0,0,0
"wales",0,0,2,0,0,0,1
"wallet",0,0,1,0,0,1,0
"wallmart",0,0,1,0,0,0,0
"wally",0,0,1,0,0,0,0
"wank",0,0,1,0,0,0,0
"wantn",0,0,1,0,0,0,0
"ware",0,0,1,0,1,0,1
"warlords",0,0,1,0,1,0,0
"warmonger",0,0,1,0,0,0,0
"warner",0,0,1,0,0,0,0
"warriorn",0,0,1,0,0,0,0
"wary",0,0,1,0,0,0,1
"wash",0,0,1,1,2,0,1
"wastin",0,0,1,0,0,0,0
"wasting",0,0,4,1,0,5,1
"wat",0,0,5,1,0,3,2
"watchdog",0,0,1,0,0,0,0
"watchmen",0,0,1,0,0,0,1
"watchmojocom",0,0,3,2,0,1,0
"watchnnnot",0,0,1,0,0,0,0
"watered",0,0,1,0,0,0,0
"watn",0,0,1,0,0,0,0
"wauw",0,0,1,0,0,0,0
"wayn",0,0,1,0,0,0,0
"wayni",0,0,1,0,0,0,1
"waynn",0,0,1,0,0,0,0
"waynnjustice",0,0,1,0,0,0,0
"wayâ",0,0,1,0,0,0,0
"weaker",0,0,1,1,1,0,0
"weakest",0,0,1,0,1,0,1
"weaklike",0,0,1,0,0,0,0
"weaklings",0,0,1,0,0,0,0
"wealthy",0,0,4,0,0,1,0
"weapins",0,0,1,0,0,0,0
"weaponnnyou",0,0,1,0,0,0,0
"weaponry",0,0,7,0,1,2,0
"weaponsim",0,0,1,0,0,0,0
"weaponsnnjust",0,0,1,0,0,0,0
"weaponsnnmaking",0,0,1,0,0,0,0
"weaponsnway",0,0,1,0,0,0,0
"weaponsunless",0,0,1,0,0,0,0
"weaponâ",0,0,1,1,0,0,0
"wears",0,0,1,0,0,0,0
"wednesday",0,0,2,0,1,3,1
"weeding",0,0,1,0,0,0,0
"weeds",0,0,1,0,0,0,0
"weekend",0,0,1,0,0,0,0
"weekends",0,0,1,0,0,0,0
"weeknps",0,0,1,0,0,0,0
"weerd",0,0,1,0,0,0,0
"weet",0,0,1,0,0,0,0
"weight",0,0,1,2,0,3,1
"weirdos",0,0,3,1,0,0,0
"wel",0,0,1,0,0,0,0
"welkijken",0,0,1,0,0,0,0
"wellhmmmok",0,0,1,0,0,0,0
"welln",0,0,1,0,0,0,0
"wellthat",0,0,1,0,0,0,0
"wellthats",0,0,1,0,0,0,0
"wellâ",0,0,1,1,0,0,0
"wen",0,0,2,0,0,4,0
"werent",0,0,5,3,0,0,2
